species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
albotuberculata,m,1.812913357,1.371067862,1.049218023,0.792391689,0.806179974,0.851258349,0.77815125,1.278753601,1.127104798,1.491361694,1.558708571,1.276461804,1.46834733,1.294466226,0.230448921,0.62324929
albotuberculata,m,1.804139432,1.380211242,1.017033339,0.770852012,0.826074803,0.875061263,0.755874856,1.307496038,1.139879086,1.489958479,1.561101384,1.281033367,1.494154594,1.344392274,0.255272505,0.653212514
albotuberculata,m,1.822821645,1.394451681,1.068185862,0.740362689,0.748188027,0.851258349,0.812913357,1.285557309,1.146128036,1.539076099,1.568201724,1.29666519,1.495544338,1.307496038,0.230448921,0.602059991
albotuberculata,m,1.838219222,1.382017043,1.049218023,0.838849091,0.851258349,0.857332496,0.77815125,1.330413773,1.149219113,1.558708571,1.608526034,1.318063335,1.50242712,1.367355921,0.342422681,0.698970004
albotuberculata,m,1.804139432,1.383815366,1.025305865,0.785329835,0.838849091,0.84509804,0.792391689,1.309630167,1.152288344,1.530199698,1.571708832,1.311753861,1.501059262,1.348304863,0.380211242,0.681241237
albotuberculata,m,1.718501689,1.318063335,0.973127854,0.716003344,0.763427994,0.799340549,0.763427994,1.181843588,1.025305865,1.374748346,1.434568904,1.301029996,1.372912003,1.201397124,0.113943352,0.462397998
albotuberculata,m,1.716837723,1.338456494,0.949390007,0.716003344,0.748188027,0.832508913,0.785329835,1.193124598,1.033423755,1.380211242,1.459392488,1.193124598,1.414973348,1.227886705,0.146128036,0.477121255
albotuberculata,m,1.746634199,1.334453751,0.959041392,0.72427587,0.73239376,0.812913357,0.838849091,1.225309282,1.08278537,1.408239965,1.485721426,1.214843848,1.411619706,1.204119983,0.079181246,0.431363764
albotuberculata,m,1.746634199,1.344392274,0.995635195,0.748188027,0.792391689,0.812913357,0.799340549,1.220108088,1.056904851,1.447158031,1.587710965,1.225309282,1.44870632,1.274157849,0.146128036,0.568201724
albotuberculata,m,1.758911892,1.359835482,1,0.698970004,0.77815125,0.84509804,0.819543936,1.23299611,1.11058971,1.451786436,1.51851394,1.247973266,1.440909082,1.252853031,0.113943352,0.51851394
albotuberculata,m,1.836324116,1.408239965,1.075546961,0.799340549,0.880813592,0.908485019,0.806179974,1.334453751,1.164352856,1.544068044,1.5774918,1.305351369,1.509202522,1.328379603,0.342422681,0.672097858
albotuberculata,m,1.832508913,1.383815366,1.008600172,0.770852012,0.819543936,0.892094603,0.812913357,1.298853076,1.158362492,1.556302501,1.591064607,1.31386722,1.547774705,1.357934847,0.342422681,0.681241237
albotuberculata,m,1.781036939,1.350248018,1.008600172,0.826074803,0.806179974,0.799340549,0.740362689,1.281033367,1.064457989,1.507855872,1.534026106,1.290034611,1.51851394,1.320146286,0.322219295,0.612783857
albotuberculata,m,1.777426822,1.350248018,1.008600172,0.785329835,0.763427994,0.806179974,0.748188027,1.29666519,1.068185862,1.489958479,1.511883361,1.269512944,1.506505032,1.348304863,0.301029996,0.653212514
albotuberculata,m,1.815577748,1.371067862,1.025305865,0.851258349,0.77815125,0.826074803,0.69019608,1.315970345,1.100370545,1.534026106,1.558708571,1.31386722,1.517195898,1.350248018,0.322219295,0.662757832
albotuberculata,m,1.804820679,1.403120521,1.012837225,0.832508913,0.799340549,0.875061263,0.770852012,1.320146286,1.071882007,1.525044807,1.550228353,1.326335861,1.534026106,1.352182518,0.361727836,0.653212514
albotuberculata,m,1.836324116,1.426511261,1.053078443,0.880813592,0.832508913,0.875061263,0.77815125,1.326335861,1.130333768,1.57054294,1.606381365,1.356025857,1.579783597,1.409933123,0.342422681,0.707570176
albotuberculata,m,1.829946696,1.403120521,1.064457989,0.851258349,0.838849091,0.86332286,0.770852012,1.328379603,1.089905111,1.555094449,1.59439255,1.326335861,1.546542663,1.383815366,0.342422681,0.681241237
albotuberculata,m,1.834420704,1.414973348,1.053078443,0.886490725,0.77815125,0.838849091,0.770852012,1.328379603,1.136720567,1.57054294,1.599883072,1.336459734,1.580924976,1.387389826,0.380211242,0.62324929
albotuberculata,m,1.804139432,1.383815366,1.029383778,0.892094603,0.763427994,0.792391689,0.716003344,1.305351369,1.113943352,1.542825427,1.57634135,1.318063335,1.553883027,1.387389826,0.342422681,0.653212514
albotuberculata,m,1.809559715,1.367355921,1.025305865,0.86923172,0.806179974,0.819543936,0.740362689,1.303196057,1.10720997,1.53529412,1.557507202,1.301029996,1.540329475,1.371067862,0.342422681,0.643452676
albotuberculata,m,1.798650645,1.378397901,1.041392685,0.832508913,0.73239376,0.826074803,0.748188027,1.281033367,1.133538908,1.531478917,1.56937391,1.285557309,1.505149978,1.350248018,0.176091259,0.591064607
albotuberculata,m,1.765668555,1.378397901,1.008600172,0.72427587,0.755874856,0.832508913,0.755874856,1.260071388,1.093421685,1.527629901,1.57054294,1.311753861,1.532754379,1.326335861,0.278753601,0.62324929
albotuberculata,m,1.797267541,1.389166084,1.045322979,0.851258349,0.77815125,0.799340549,0.77815125,1.285557309,1.133538908,1.530199698,1.558708571,1.307496038,1.5289167,1.394451681,0.380211242,0.602059991
albotuberculata,m,1.831869774,1.414973348,1.045322979,0.819543936,0.755874856,0.857332496,0.785329835,1.344392274,1.120573931,1.567026366,1.598790507,1.342422681,1.558708571,1.374748346,0.397940009,0.653212514
albotuberculata,m,1.810904281,1.389166084,1.029383778,0.851258349,0.892094603,0.826074803,0.763427994,1.33243846,1.130333768,1.534026106,1.57054294,1.320146286,1.559906625,1.365487985,0.380211242,0.698970004
albotuberculata,m,1.803457116,1.385606274,1.029383778,0.785329835,0.812913357,0.819543936,0.77815125,1.309630167,1.11058971,1.541579244,1.562292864,1.309630167,1.5289167,1.33243846,0.342422681,0.672097858
albotuberculata ,m,1.755112266,1.346352974,1.025305865,0.819543936,0.770852012,0.838849091,0.763427994,1.245512668,1.089905111,1.45331834,1.501059262,1.23299611,1.442479769,1.269512944,0.146128036,0.568201724
albotuberculata ,m,1.781755375,1.356025857,1.025305865,0.806179974,0.806179974,0.86332286,0.770852012,1.264817823,1.117271296,1.485721426,1.534026106,1.281033367,1.478566496,1.285557309,0.255272505,0.568201724
albotuberculata,f,1.891537458,1.462397998,1.11058971,0.986771734,0.86332286,0.897627091,0.748188027,1.421603927,1.250420002,1.62324929,1.636487896,1.394451681,1.63447727,1.477121255,0.462397998,0.73239376
albotuberculata,f,1.933993164,1.494154594,1.155336037,1.033423755,0.919078092,0.949390007,0.812913357,1.456366033,1.235528447,1.670245853,1.707570176,1.419955748,1.699837726,1.541579244,0.51851394,0.832508913
albotuberculata,f,1.944975908,1.474216264,1.149219113,1.029383778,0.880813592,0.886490725,0.763427994,1.459392488,1.267171728,1.692846919,1.72427587,1.463892989,1.689308859,1.50242712,0.505149978,0.799340549
albotuberculata,f,1.818885415,1.383815366,1.11058971,0.897627091,0.819543936,0.84509804,0.755874856,1.303196057,1.113943352,1.557507202,1.587710965,1.361727836,1.563481085,1.403120521,0.342422681,0.643452676
albotuberculata,f,1.843855423,1.396199347,0.806179974,0.919078092,0.84509804,0.806179974,0.716003344,1.350248018,1.146128036,1.587710965,1.632457292,1.352182518,1.596597096,1.434568904,0.397940009,0.748188027
albotuberculata,f,1.881384657,1.436162647,1.139879086,0.959041392,0.86923172,0.86332286,0.763427994,1.409933123,1.225309282,1.644438589,1.675778342,1.432969291,1.646403726,1.481442629,0.447158031,0.77815125
albotuberculata,f,1.92890769,1.506505032,1.187520721,1.017033339,0.886490725,0.944482672,0.806179974,1.463892989,1.276461804,1.669316881,1.710963119,1.460897843,1.681241237,1.501059262,0.491361694,0.806179974
albotuberculata,f,1.85672889,1.42975228,1.089905111,0.913813852,0.826074803,0.892094603,0.740362689,1.378397901,1.204119983,1.621176282,1.656098202,1.396199347,1.638489257,1.482873584,0.380211242,0.69019608
albotuberculata,f,1.903089987,1.45484486,1.152288344,0.929418926,0.886490725,0.857332496,0.73239376,1.45484486,1.238046103,1.639486489,1.665580991,1.40654018,1.650307523,1.487138375,0.397940009,0.755874856
albotuberculata,f,1.804820679,1.356025857,1.025305865,0.84509804,0.812913357,0.770852012,0.72427587,1.298853076,1.100370545,1.525044807,1.568201724,1.326335861,1.546542663,1.394451681,0.278753601,0.612783857
albotuberculata,f,1.868056362,1.434568904,1.08278537,0.792391689,0.86923172,0.924279286,0.806179974,1.361727836,1.220108088,1.558708571,1.610660163,1.340444115,1.561101384,1.392696953,0.322219295,0.653212514
