species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
aurantipunctata,m,1.729974286,1.283301229,0.954242509,0.770852012,0.755874856,0.755874856,0.556302501,1.250420002,1.033423755,1.414973348,1.444044796,1.195899652,1.432969291,1.255272505,0.255272505,0.633468456
aurantipunctata,m,1.703291378,1.269512944,0.919078092,0.763427994,0.69019608,0.748188027,0.531478917,1.245512668,1.017033339,1.418301291,1.439332694,1.212187604,1.416640507,1.264817823,0.255272505,0.591064607
aurantipunctata,m,1.691965103,1.274157849,0.919078092,0.740362689,0.707570176,0.770852012,0.568201724,1.257678575,1.021189299,1.401400541,1.426511261,1.181843588,1.385606274,1.271841607,0.278753601,0.602059991
aurantipunctata,m,1.720985744,1.267171728,0.919078092,0.748188027,0.707570176,0.72427587,0.612783857,1.225309282,1.033423755,1.413299764,1.44870632,1.209515015,1.439332694,1.285557309,0.255272505,0.579783597
aurantipunctata,m,1.712649702,1.276461804,0.919078092,0.770852012,0.73239376,0.77815125,0.591064607,1.267171728,1.06069784,1.436162647,1.45484486,1.227886705,1.442479769,1.29666519,0.255272505,0.544068044
aurantipunctata,m,1.688419822,1.274157849,0.913813852,0.755874856,0.73239376,0.755874856,0.568201724,1.260071388,1.041392685,1.411619706,1.445604203,1.204119983,1.426511261,1.303196057,0.278753601,0.579783597
aurantipunctata,m,1.721810615,1.278753601,0.954242509,0.838849091,0.707570176,0.73239376,0.591064607,1.267171728,1.017033339,1.426511261,1.456366033,1.212187604,1.436162647,1.303196057,0.230448921,0.568201724
aurantipunctata,m,1.710963119,1.255272505,0.929418926,0.785329835,0.73239376,0.633468456,0.556302501,1.230448921,1.049218023,1.439332694,1.442479769,1.212187604,1.419955748,1.298853076,0.278753601,0.591064607
aurantipunctata,m,1.691081492,1.255272505,0.86332286,0.763427994,0.707570176,0.770852012,0.643452676,1.214843848,1.021189299,1.397940009,1.434568904,1.206825876,1.403120521,1.271841607,0.230448921,0.556302501
aurantipunctata,m,1.684845362,1.274157849,0.924279286,0.755874856,0.716003344,0.73239376,0.62324929,1.245512668,1.06069784,1.413299764,1.419955748,1.176091259,1.401400541,1.276461804,0.230448921,0.591064607
aurantipunctata,f,1.825426118,1.371067862,1.053078443,0.86332286,0.826074803,0.792391689,0.612783857,1.367355921,1.152288344,1.546542663,1.558708571,1.318063335,1.574031268,1.426511261,0.414973348,0.707570176
aurantipunctata,f,1.839478047,1.45484486,1.033423755,0.919078092,0.838849091,0.826074803,0.568201724,1.367355921,1.184691431,1.562292864,1.583198774,1.340444115,1.571708832,1.424881637,0.431363764,0.72427587
aurantipunctata,f,1.784617293,1.33243846,0.977723605,0.792391689,0.785329835,0.806179974,0.568201724,1.346352974,1.133538908,1.532754379,1.550228353,1.31386722,1.536558443,1.378397901,0.397940009,0.707570176
aurantipunctata,f,1.807535028,1.383815366,1.056904851,0.934498451,0.832508913,0.84509804,0.62324929,1.390935107,1.149219113,1.549003262,1.580924976,1.330413773,1.536558443,1.394451681,0.447158031,0.643452676
aurantipunctata,f,1.831229694,1.401400541,1.06069784,0.929418926,0.851258349,0.851258349,0.62324929,1.383815366,1.136720567,1.562292864,1.588831726,1.342422681,1.549003262,1.369215857,0.462397998,0.681241237
aurantipunctata,f,1.936010796,1.495544338,1.176091259,1.008600172,0.86332286,0.903089987,0.785329835,1.46834733,1.274157849,1.677606953,1.720159303,1.478566496,1.686636269,1.515873844,0.477121255,0.672097858
aurantipunctata,f,1.793790385,1.334453751,0.977723605,0.880813592,0.792391689,0.799340549,0.602059991,1.340444115,1.127104798,1.503790683,1.526339277,1.311753861,1.5289167,1.383815366,0.342422681,0.698970004
aurantipunctata,f,1.802773725,1.344392274,1,0.903089987,0.785329835,0.770852012,0.556302501,1.350248018,1.158362492,1.517195898,1.539076099,1.281033367,1.534026106,1.387389826,0.322219295,0.653212514
aurantipunctata,f,1.795880017,1.326335861,0.995635195,0.875061263,0.812913357,0.748188027,0.579783597,1.344392274,1.161368002,1.534026106,1.551449998,1.301029996,1.550228353,1.392696953,0.380211242,0.653212514
aurantipunctata,f,1.771587481,1.320146286,0.963787827,0.851258349,0.792391689,0.755874856,0.568201724,1.298853076,1.130333768,1.501059262,1.527629901,1.290034611,1.499687083,1.356025857,0.301029996,0.653212514
