species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
everetti,m,1.900367129,1.481442629,1.123851641,0.86923172,0.886490725,0.929418926,0.929418926,1.40654018,1.269512944,1.639486489,1.678518379,1.413299764,1.63447727,1.419955748,0.447158031,0.662757832
everetti,m,1.893761762,1.465382851,1.127104798,0.857332496,0.880813592,0.86332286,0.875061263,1.403120521,1.214843848,1.608526034,1.648360011,1.387389826,1.599883072,1.389166084,0.380211242,0.662757832
everetti,m,1.790285164,1.357934847,1.012837225,0.838849091,0.763427994,0.77815125,0.755874856,1.290034611,1.10720997,1.537819095,1.565847819,1.315970345,1.530199698,1.389166084,0.322219295,0.643452676
everetti,m,1.859738566,1.46834733,1.123851641,0.897627091,0.880813592,0.875061263,0.924279286,1.376576957,1.123851641,1.621176282,1.649334859,1.40654018,1.622214023,1.428134794,0.397940009,0.579783597
everetti,m,1.883093359,1.45484486,1.11058971,0.892094603,0.84509804,0.857332496,0.880813592,1.378397901,1.149219113,1.645422269,1.675778342,1.423245874,1.668385917,1.444044796,0.447158031,0.62324929
everetti,m,1.861534411,1.456366033,1.113943352,0.875061263,0.851258349,0.86923172,0.903089987,1.380211242,1.136720567,1.620136055,1.649334859,1.387389826,1.615950052,1.419955748,0.414973348,0.612783857
everetti,m,1.812913357,1.382017043,1.029383778,0.838849091,0.806179974,0.785329835,0.799340549,1.301029996,1.096910013,1.551449998,1.589949601,1.340444115,1.562292864,1.338456494,0.361727836,0.51851394
everetti,m,1.810232518,1.390935107,1.068185862,0.875061263,0.799340549,0.86923172,0.819543936,1.324282455,1.093421685,1.582063363,1.618048097,1.361727836,1.572871602,1.354108439,0.361727836,0.531478917
everetti,m,1.831869774,1.434568904,1.093421685,0.875061263,0.857332496,0.857332496,0.819543936,1.334453751,1.127104798,1.572871602,1.651278014,1.374748346,1.621176282,1.361727836,0.431363764,0.579783597
everetti,f,1.867467488,1.428134794,1.103803721,0.892094603,0.908485019,0.913813852,0.819543936,1.389166084,1.243038049,1.596597096,1.655138435,1.371067862,1.596597096,1.409933123,0.447158031,0.707570176
everetti,f,1.939519253,1.494154594,1.158362492,1.029383778,0.924279286,0.991226076,0.819543936,1.465382851,1.346352974,1.696356389,1.729974286,1.45484486,1.699837726,1.5132176,0.491361694,0.86923172
everetti,f,1.890979597,1.475671188,1.123851641,0.86923172,0.875061263,0.892094603,0.968482949,1.390935107,1.257678575,1.611723308,1.653212514,1.367355921,1.618048097,1.376576957,0.431363764,0.653212514
everetti,f,1.936010796,1.503790683,1.184691431,0.982271233,0.954242509,0.924279286,0.838849091,1.475671188,1.243038049,1.692846919,1.740362689,1.465382851,1.731588765,1.496929648,0.544068044,0.716003344
