species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
igorata,m,1.731588765,1.309630167,0.903089987,0.653212514,0.707570176,0.875061263,0.612783857,1.243038049,1.053078443,1.45331834,1.480006943,1.243038049,1.442479769,1.227886705,0.322219295,0.531478917
igorata,m,1.700703717,1.292256071,0.929418926,0.662757832,0.707570176,0.785329835,0.51851394,1.238046103,1.004321374,1.419955748,1.471291711,1.206825876,1.426511261,1.225309282,0.301029996,0.462397998
igorata,m,1.720985744,1.292256071,0.949390007,0.698970004,0.707570176,0.792391689,0.477121255,1.250420002,1.071882007,1.465382851,1.505149978,1.255272505,1.450249108,1.252853031,0.322219295,0.51851394
igorata,m,1.733999287,1.29666519,0.939519253,0.698970004,0.716003344,0.819543936,0.568201724,1.243038049,1.079181246,1.46686762,1.488550717,1.267171728,1.45484486,1.260071388,0.322219295,0.531478917
igorata,m,1.702430536,1.315970345,0.959041392,0.62324929,0.716003344,0.806179974,0.568201724,1.235528447,1.025305865,1.444044796,1.46686762,1.225309282,1.423245874,1.204119983,0.342422681,0.531478917
igorata,m,1.726727209,1.283301229,0.934498451,0.62324929,0.72427587,0.792391689,0.505149978,1.235528447,1.008600172,1.45331834,1.462397998,1.217483944,1.437750563,1.243038049,0.278753601,0.462397998
igorata,m,1.739572344,1.29666519,0.954242509,0.662757832,0.72427587,0.792391689,0.531478917,1.227886705,1.045322979,1.474216264,1.496929648,1.26245109,1.44870632,1.222716471,0.342422681,0.505149978
igorata,m,1.695481676,1.285557309,0.954242509,0.672097858,0.707570176,0.84509804,0.568201724,1.252853031,1.075546961,1.465382851,1.484299839,1.260071388,1.45484486,1.235528447,0.255272505,0.505149978
igorata,m,1.73479983,1.322219295,0.968482949,0.643452676,0.72427587,0.812913357,0.544068044,1.276461804,1.071882007,1.478566496,1.491361694,1.245512668,1.465382851,1.245512668,0.361727836,0.579783597
igorata,m,1.710963119,1.305351369,0.934498451,0.591064607,0.681241237,0.84509804,0.672097858,1.255272505,1.045322979,1.462397998,1.474216264,1.225309282,1.463892989,1.227886705,0.322219295,0.544068044
igorata,m,1.733197265,1.315970345,0.944482672,0.662757832,0.69019608,0.84509804,0.568201724,1.252853031,1.041392685,1.457881897,1.474216264,1.225309282,1.431363764,1.204119983,0.322219295,0.51851394
igorata,m,1.699837726,1.281033367,0.924279286,0.643452676,0.707570176,0.812913357,0.544068044,1.238046103,1.012837225,1.42975228,1.463892989,1.209515015,1.419955748,1.217483944,0.255272505,0.531478917
igorata,m,1.715167358,1.285557309,0.924279286,0.579783597,0.672097858,0.812913357,0.544068044,1.227886705,1.033423755,1.456366033,1.457881897,1.225309282,1.447158031,1.243038049,0.278753601,0.505149978
igorata,m,1.726727209,1.315970345,0.963787827,0.662757832,0.681241237,0.806179974,0.653212514,1.252853031,1.045322979,1.451786436,1.482873584,1.255272505,1.45484486,1.247973266,0.361727836,0.531478917
igorata,m,1.710963119,1.315970345,0.944482672,0.602059991,0.707570176,0.851258349,0.579783597,1.222716471,1.029383778,1.440909082,1.457881897,1.23299611,1.432969291,1.230448921,0.342422681,0.491361694
igorata,m,1.741151599,1.315970345,0.954242509,0.681241237,0.707570176,0.806179974,0.591064607,1.250420002,1.045322979,1.46834733,1.501059262,1.250420002,1.480006943,1.252853031,0.301029996,0.544068044
igorata,m,1.749736316,1.334453751,0.954242509,0.672097858,0.69019608,0.851258349,0.591064607,1.274157849,1.012837225,1.481442629,1.499687083,1.245512668,1.463892989,1.260071388,0.380211242,0.556302501
igorata,m,1.713490543,1.294466226,0.939519253,0.69019608,0.698970004,0.799340549,0.556302501,1.220108088,1.049218023,1.450249108,1.46834733,1.220108088,1.432969291,1.217483944,0.278753601,0.491361694
igorata ,m,1.765668555,1.33243846,0.944482672,0.707570176,0.812913357,0.857332496,0.73239376,1.238046103,1.06069784,1.451786436,1.498310554,1.217483944,1.408239965,1.227886705,0.204119983,0.51851394
igorota ,m,1.713490543,1.283301229,0.897627091,0.662757832,0.770852012,0.819543936,0.633468456,1.220108088,1.045322979,1.426511261,1.472756449,1.209515015,1.408239965,1.173186268,0.255272505,0.431363764
igorata,f,1.857935265,1.416640507,1.08278537,0.785329835,0.819543936,0.892094603,0.62324929,1.416640507,1.161368002,1.580924976,1.619093331,1.378397901,1.555094449,1.350248018,0.462397998,0.69019608
igorata,f,1.892651034,1.436162647,1.113943352,0.875061263,0.832508913,0.919078092,0.633468456,1.442479769,1.209515015,1.632457292,1.6599162,1.401400541,1.604226053,1.401400541,0.491361694,0.69019608
igorata,f,1.912222057,1.44870632,1.120573931,0.857332496,0.857332496,0.913813852,0.672097858,1.436162647,1.201397124,1.63447727,1.667452953,1.408239965,1.64246452,1.42975228,0.505149978,0.73239376
igorata,f,1.865103975,1.424881637,1.08278537,0.819543936,0.832508913,0.908485019,0.591064607,1.401400541,1.178976947,1.593286067,1.618048097,1.369215857,1.562292864,1.374748346,0.491361694,0.69019608
igorata,f,1.88422877,1.428134794,1.08278537,0.826074803,0.812913357,0.939519253,0.662757832,1.424881637,1.198657087,1.605305046,1.632457292,1.369215857,1.605305046,1.411619706,0.477121255,0.681241237
igorata,f,1.887054378,1.450249108,1.093421685,0.826074803,0.857332496,0.897627091,0.612783857,1.432969291,1.209515015,1.632457292,1.661812686,1.394451681,1.622214023,1.414973348,0.505149978,0.73239376
igorata,f,1.898725182,1.45484486,1.086359831,0.826074803,0.903089987,0.939519253,0.662757832,1.450249108,1.190331698,1.614897216,1.636487896,1.371067862,1.607455023,1.356025857,0.491361694,0.716003344
igorata,f,1.893761762,1.432969291,1.079181246,0.838849091,0.838849091,0.913813852,0.62324929,1.426511261,1.178976947,1.607455023,1.610660163,1.356025857,1.598790507,1.367355921,0.491361694,0.698970004
igorata,f,1.862131379,1.404833717,1.053078443,0.819543936,0.826074803,0.832508913,0.568201724,1.399673721,1.155336037,1.606381365,1.626340367,1.378397901,1.606381365,1.396199347,0.447158031,0.681241237
igorata,f,1.891537458,1.451786436,1.093421685,0.86923172,0.880813592,0.939519253,0.62324929,1.451786436,1.187520721,1.595496222,1.632457292,1.383815366,1.593286067,1.414973348,0.505149978,0.681241237
igorata,f,1.829946696,1.411619706,1.068185862,0.812913357,0.819543936,0.913813852,0.531478917,1.392696953,1.176091259,1.598790507,1.613841822,1.357934847,1.596597096,1.399673721,0.477121255,0.69019608
igorata ,f,1.696356389,1.269512944,0.913813852,0.653212514,0.785329835,0.77815125,0.602059991,1.184691431,1.021189299,1.421603927,1.478566496,1.187520721,1.385606274,1.204119983,0.146128036,0.397940009
