species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
sanguinea,m,1.622214023,1.225309282,0.86332286,0.51851394,0.591064607,0.763427994,0.643452676,1.123851641,0.919078092,1.350248018,1.403120521,1.158362492,1.342422681,1.053078443,0.255272505,0.176091259
sanguinea,m,1.610660163,1.225309282,0.886490725,0.531478917,0.544068044,0.72427587,0.612783857,1.120573931,0.982271233,1.374748346,1.434568904,1.176091259,1.361727836,1.053078443,0.176091259,0.079181246
sanguinea,m,1.57863921,1.201397124,0.838849091,0.477121255,0.591064607,0.69019608,0.591064607,1.068185862,0.913813852,1.315970345,1.36361198,1.113943352,1.33243846,1.004321374,0.278753601,0
sanguinea,m,1.571708832,1.204119983,0.812913357,0.462397998,0.544068044,0.73239376,0.602059991,1.086359831,0.880813592,1.309630167,1.378397901,1.127104798,1.33243846,1.033423755,0.204119983,0.146128036
sanguinea,m,1.582063363,1.198657087,0.838849091,0.491361694,0.568201724,0.72427587,0.591064607,1.068185862,0.886490725,1.311753861,1.356025857,1.103803721,1.315970345,1.021189299,0.079181246,0.041392685
sanguinea,m,1.592176757,1.201397124,0.812913357,0.491361694,0.544068044,0.681241237,0.544068044,1.08278537,0.897627091,1.336459734,1.387389826,1.136720567,1.336459734,1.037426498,0.176091259,0.079181246
sanguinea,m,1.598790507,1.209515015,0.86923172,0.579783597,0.556302501,0.716003344,0.579783597,1.103803721,0.929418926,1.356025857,1.40654018,1.1430148,1.356025857,1.025305865,0.113943352,0
sanguinea,m,1.588831726,1.206825876,0.86332286,0.491361694,0.602059991,0.643452676,0.579783597,1.089905111,0.897627091,1.336459734,1.376576957,1.11058971,1.328379603,1.045322979,0.113943352,0.041392685
sanguinea,m,1.609594409,1.212187604,0.857332496,0.531478917,0.531478917,0.69019608,0.544068044,1.10720997,0.934498451,1.367355921,1.419955748,1.164352856,1.36361198,1.049218023,0.146128036,0.079181246
sanguinea,m,1.631443769,1.217483944,0.851258349,0.531478917,0.568201724,0.716003344,0.591064607,1.127104798,0.934498451,1.359835482,1.424881637,1.155336037,1.36361198,1.06069784,0.176091259,0.079181246
sanguinea,f,1.808885867,1.372912003,1.041392685,0.73239376,0.755874856,0.806179974,0.643452676,1.318063335,1.10720997,1.551449998,1.615950052,1.338456494,1.567026366,1.257678575,0.342422681,0.278753601
sanguinea,f,1.818225894,1.401400541,1.049218023,0.748188027,0.792391689,0.84509804,0.681241237,1.356025857,1.113943352,1.597695186,1.648360011,1.374748346,1.58546073,1.28780173,0.301029996,0.301029996
sanguinea,f,1.828015064,1.408239965,1.06069784,0.77815125,0.763427994,0.892094603,0.69019608,1.369215857,1.187520721,1.598790507,1.671172843,1.404833717,1.626340367,1.298853076,0.322219295,0.278753601
sanguinea,f,1.82672252,1.392696953,1.056904851,0.792391689,0.785329835,0.851258349,0.62324929,1.348304863,1.136720567,1.610660163,1.646403726,1.399673721,1.593286067,1.285557309,0.342422681,0.301029996
sanguinea,f,1.820857989,1.385606274,1.053078443,0.785329835,0.763427994,0.857332496,0.69019608,1.336459734,1.149219113,1.571708832,1.646403726,1.371067862,1.584331224,1.278753601,0.342422681,0.301029996
sanguinea,f,1.851258349,1.413299764,1.089905111,0.763427994,0.785329835,0.832508913,0.643452676,1.354108439,1.152288344,1.606381365,1.667452953,1.394451681,1.5774918,1.276461804,0.342422681,0.301029996
sanguinea,f,1.807535028,1.372912003,1.064457989,0.707570176,0.755874856,0.799340549,0.653212514,1.31386722,1.093421685,1.564666064,1.611723308,1.354108439,1.547774705,1.257678575,0.230448921,0.204119983
sanguinea,f,1.857935265,1.426511261,1.096910013,0.73239376,0.806179974,0.857332496,0.698970004,1.354108439,1.139879086,1.58546073,1.646403726,1.374748346,1.599883072,1.257678575,0.380211242,0.278753601
sanguinea,f,1.806179974,1.382017043,1.021189299,0.755874856,0.740362689,0.826074803,0.681241237,1.324282455,1.123851641,1.57054294,1.617000341,1.348304863,1.556302501,1.260071388,0.322219295,0.255272505
sanguinea,f,1.787460475,1.365487985,1.041392685,0.707570176,0.716003344,0.812913357,0.633468456,1.298853076,1.096910013,1.531478917,1.583198774,1.330413773,1.527629901,1.230448921,0.301029996,0.255272505
