species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
tipanan,m,1.700703717,1.322219295,0.977723605,0.73239376,0.73239376,0.826074803,0.633468456,1.214843848,1.041392685,1.428134794,1.46834733,1.209515015,1.392696953,1.230448921,0.322219295,0.491361694
tipanan,m,1.683947131,1.290034611,0.908485019,0.73239376,0.73239376,0.792391689,0.62324929,1.195899652,1.041392685,1.419955748,1.447158031,1.170261715,1.36361198,1.161368002,0.146128036,0.397940009
tipanan,m,1.710963119,1.303196057,0.929418926,0.792391689,0.770852012,0.857332496,0.633468456,1.217483944,1.089905111,1.434568904,1.472756449,1.214843848,1.397940009,1.195899652,0.278753601,0.414973348
tipanan,m,1.71432976,1.281033367,0.949390007,0.740362689,0.748188027,0.819543936,0.568201724,1.209515015,1.08278537,1.423245874,1.46834733,1.220108088,1.411619706,1.264817823,0.146128036,0.477121255
tipanan,m,1.705863712,1.326335861,0.973127854,0.770852012,0.740362689,0.838849091,0.653212514,1.212187604,1.06069784,1.416640507,1.46834733,1.198657087,1.385606274,1.187520721,0.278753601,0.491361694
tipanan,m,1.69019608,1.307496038,0.944482672,0.73239376,0.716003344,0.806179974,0.662757832,1.204119983,1.08278537,1.416640507,1.469822016,1.214843848,1.424881637,1.178976947,0.278753601,0.491361694
tipanan,m,1.707570176,1.301029996,0.954242509,0.698970004,0.72427587,0.806179974,0.643452676,1.212187604,1.100370545,1.432969291,1.46834733,1.222716471,1.416640507,1.204119983,0.176091259,0.380211242
tipanan,m,1.662757832,1.290034611,0.929418926,0.73239376,0.73239376,0.84509804,0.62324929,1.201397124,1.041392685,1.409933123,1.450249108,1.178976947,1.385606274,1.181843588,0.230448921,0.431363764
tipanan,m,1.673020907,1.315970345,0.963787827,0.77815125,0.740362689,0.838849091,0.653212514,1.195899652,1.017033339,1.392696953,1.408239965,1.149219113,1.36361198,1.170261715,0.230448921,0.462397998
tipanan,m,1.701567985,1.307496038,0.986771734,0.662757832,0.716003344,0.819543936,0.643452676,1.214843848,1.068185862,1.428134794,1.436162647,1.173186268,1.367355921,1.222716471,0.230448921,0.477121255
tipanan,m,1.716837723,1.31386722,0.973127854,0.716003344,0.698970004,0.838849091,0.62324929,1.238046103,1.053078443,1.431363764,1.460897843,1.206825876,1.397940009,1.209515015,0.278753601,0.505149978
tipanan,m,1.692846919,1.31386722,0.954242509,0.72427587,0.72427587,0.826074803,0.681241237,1.214843848,1.064457989,1.428134794,1.46686762,1.173186268,1.372912003,1.204119983,0.204119983,0.397940009
tipanan,m,1.686636269,1.292256071,0.939519253,0.73239376,0.716003344,0.819543936,0.653212514,1.220108088,1.064457989,1.431363764,1.456366033,1.176091259,1.36361198,1.184691431,0.204119983,0.414973348
tipanan,m,1.704150517,1.326335861,0.991226076,0.72427587,0.72427587,0.84509804,0.653212514,1.240549248,1.08278537,1.447158031,1.471291711,1.230448921,1.411619706,1.230448921,0.230448921,0.477121255
tipanan,m,1.661812686,1.255272505,0.919078092,0.681241237,0.698970004,0.812913357,0.568201724,1.173186268,1.041392685,1.40654018,1.442479769,1.176091259,1.348304863,1.178976947,0.113943352,0.342422681
tipanan,m,1.707570176,1.328379603,0.982271233,0.716003344,0.707570176,0.851258349,0.653212514,1.230448921,1.089905111,1.428134794,1.46834733,1.198657087,1.369215857,1.209515015,0.230448921,0.447158031
tipanan,m,1.671172843,1.283301229,0.934498451,0.740362689,0.72427587,0.851258349,0.633468456,1.170261715,1.045322979,1.394451681,1.426511261,1.173186268,1.336459734,1.152288344,0.204119983,0.342422681
tipanan,m,1.716837723,1.324282455,0.968482949,0.72427587,0.755874856,0.838849091,0.681241237,1.23299611,1.100370545,1.447158031,1.489958479,1.214843848,1.416640507,1.222716471,0.230448921,0.462397998
tipanan,m,1.672097858,1.309630167,0.939519253,0.72427587,0.770852012,0.819543936,0.672097858,1.230448921,1.064457989,1.40654018,1.444044796,1.195899652,1.380211242,1.204119983,0.230448921,0.447158031
tipanan,m,1.685741739,1.315970345,0.973127854,0.681241237,0.785329835,0.832508913,0.672097858,1.217483944,1.093421685,1.42975228,1.463892989,1.187520721,1.392696953,1.195899652,0.255272505,0.431363764
tipanan,m,1.703291378,1.31386722,0.963787827,0.69019608,0.72427587,0.84509804,0.633468456,1.238046103,1.089905111,1.431363764,1.469822016,1.204119983,1.414973348,1.190331698,0.278753601,0.447158031
tipanan,m,1.698100546,1.322219295,0.977723605,0.681241237,0.770852012,0.86923172,0.698970004,1.230448921,1.086359831,1.428134794,1.465382851,1.418301291,1.409933123,1.212187604,0.255272505,0.491361694
tipanan,m,1.691965103,1.29666519,0.944482672,0.698970004,0.755874856,0.880813592,0.662757832,1.206825876,1.049218023,1.387389826,1.423245874,1.152288344,1.324282455,1.158362492,0.322219295,0.477121255
tipanan,m,1.673020907,1.301029996,0.929418926,0.716003344,0.755874856,0.875061263,0.633468456,1.204119983,1.056904851,1.411619706,1.445604203,1.181843588,1.376576957,1.184691431,0.230448921,0.447158031
tipanan,m,1.698970004,1.330413773,0.968482949,0.672097858,0.755874856,0.86332286,0.662757832,1.238046103,1.086359831,1.437750563,1.462397998,1.217483944,1.416640507,1.204119983,0.230448921,0.477121255
tipanan,m,1.687528961,1.318063335,0.939519253,0.69019608,0.763427994,0.857332496,0.591064607,1.23299611,1.096910013,1.428134794,1.46834733,1.204119983,1.390935107,1.193124598,0.278753601,0.477121255
tipanan,m,1.702430536,1.309630167,0.963787827,0.69019608,0.755874856,0.819543936,0.672097858,1.217483944,1.071882007,1.404833717,1.44870632,1.187520721,1.374748346,1.206825876,0.176091259,0.447158031
tipanan,m,1.694605199,1.322219295,0.924279286,0.681241237,0.792391689,0.851258349,0.653212514,1.209515015,1.079181246,1.436162647,1.459392488,1.212187604,1.399673721,1.190331698,0.278753601,0.505149978
tipanan,m,1.698970004,1.311753861,0.939519253,0.716003344,0.770852012,0.84509804,0.662757832,1.230448921,1.041392685,1.432969291,1.462397998,1.204119983,1.40654018,1.190331698,0.255272505,0.447158031
tipanan,m,1.707570176,1.322219295,0.968482949,0.681241237,0.763427994,0.857332496,0.612783857,1.247973266,1.068185862,1.439332694,1.469822016,1.201397124,1.408239965,1.225309282,0.278753601,0.462397998
tipanan,m,1.686636269,1.307496038,0.924279286,0.69019608,0.755874856,0.832508913,0.633468456,1.214843848,1.093421685,1.421603927,1.45484486,1.187520721,1.382017043,1.204119983,0.255272505,0.477121255
tipanan,m,1.72916479,1.320146286,0.968482949,0.707570176,0.77815125,0.851258349,0.681241237,1.250420002,1.096910013,1.44870632,1.492760389,1.225309282,1.414973348,1.195899652,0.301029996,0.462397998
