species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
visayan everetti,m,1.760422483,1.33243846,0.939519253,0.707570176,0.72427587,0.819543936,0.72427587,1.212187604,1.10720997,1.477121255,1.542825427,1.240549248,1.45331834,1.250420002,-0.045757491,0.301029996
visayan everetti,m,1.753583059,1.336459734,0.968482949,0.707570176,0.707570176,0.819543936,0.716003344,1.222716471,1.096910013,1.489958479,1.5289167,1.238046103,1.459392488,1.257678575,0.255272505,0.531478917
visayan everetti,m,1.741939078,1.305351369,0.973127854,0.716003344,0.707570176,0.826074803,0.716003344,1.198657087,1.10720997,1.480006943,1.542825427,1.247973266,1.399673721,1.193124598,0.204119983,0.431363764
visayan everetti,m,1.698970004,1.354108439,1.017033339,0.73239376,0.73239376,0.86332286,0.716003344,1.23299611,1.123851641,1.50242712,1.536558443,1.260071388,1.444044796,1.230448921,0.322219295,0.51851394
visayan everetti,m,1.720159303,1.301029996,0.986771734,0.698970004,0.698970004,0.792391689,0.662757832,1.176091259,1.064457989,1.424881637,1.478566496,1.184691431,1.409933123,1.252853031,0.176091259,0.380211242
visayan everetti,m,1.649334859,1.238046103,0.851258349,0.633468456,0.643452676,0.72427587,0.612783857,1.133538908,0.982271233,1.352182518,1.432969291,1.149219113,1.356025857,1.184691431,0.146128036,0.431363764
visayan everetti,m,1.709269961,1.29666519,0.954242509,0.72427587,0.73239376,0.77815125,0.662757832,1.158362492,1.017033339,1.437750563,1.481442629,1.176091259,1.385606274,1.204119983,0.204119983,0.431363764
visayan everetti,m,1.660865478,1.267171728,0.944482672,0.698970004,0.69019608,0.73239376,0.591064607,1.1430148,0.991226076,1.437750563,1.462397998,1.181843588,1.413299764,1.240549248,0.230448921,0.477121255
visayan everetti,m,1.742725131,1.322219295,1,0.740362689,0.755874856,0.77815125,0.672097858,1.198657087,1.093421685,1.445604203,1.506505032,1.238046103,1.434568904,1.276461804,0.230448921,0.51851394
visayan everetti,f,1.904715545,1.44870632,1.10720997,0.886490725,0.826074803,0.892094603,0.716003344,1.390935107,1.170261715,1.639486489,1.691081492,1.404833717,1.63447727,1.436162647,0.431363764,0.62324929
visayan everetti,f,1.866877814,1.436162647,1.100370545,0.903089987,0.806179974,0.857332496,0.770852012,1.367355921,1.164352856,1.592176757,1.638489257,1.367355921,1.610660163,1.40654018,0.431363764,0.62324929
visayan everetti,f,1.859138297,1.437750563,1.103803721,0.903089987,0.77815125,0.86923172,0.662757832,1.354108439,1.204119983,1.632457292,1.678518379,1.396199347,1.624282096,1.423245874,0.477121255,0.72427587
visayan everetti,f,1.901458321,1.46686762,1.10720997,1.021189299,0.785329835,1.008600172,0.755874856,1.413299764,1.184691431,1.664641976,1.705863712,1.411619706,1.62838893,1.428134794,0.414973348,0.672097858
visayan everetti,f,1.871572936,1.423245874,1.079181246,0.86332286,0.799340549,0.908485019,0.755874856,1.352182518,1.176091259,1.609594409,1.665580991,1.40654018,1.59439255,1.367355921,0.361727836,0.579783597
visayan everetti,f,1.878521796,1.445604203,1.096910013,0.875061263,0.826074803,0.875061263,0.785329835,1.376576957,1.201397124,1.639486489,1.680335513,1.399673721,1.626340367,1.424881637,0.707570176,0.826074803
visayan everetti,f,1.875639937,1.442479769,1.127104798,0.944482672,0.819543936,0.851258349,0.72427587,1.396199347,1.222716471,1.631443769,1.681241237,1.404833717,1.651278014,1.444044796,0.707570176,0.819543936
visayan everetti,f,1.892094603,1.44870632,1.100370545,0.880813592,0.86923172,0.908485019,0.770852012,1.382017043,1.264817823,1.632457292,1.694605199,1.404833717,1.609594409,1.387389826,0.322219295,0.633468456
visayan everetti,f,1.815577748,1.414973348,1.096910013,0.792391689,0.792391689,0.875061263,0.672097858,1.330413773,1.155336037,1.553883027,1.633468456,1.340444115,1.541579244,1.346352974,0.322219295,0.568201724
visayan everetti,f,1.876217841,1.447158031,1.11058971,0.86332286,0.86923172,0.959041392,0.740362689,1.397940009,1.240549248,1.542825427,1.644438589,1.382017043,1.561101384,1.397940009,0.397940009,0.69019608
visayan everetti,f,1.896526217,1.439332694,1.086359831,0.812913357,0.880813592,0.944482672,0.72427587,1.367355921,1.260071388,1.57054294,1.640481437,1.350248018,1.56937391,1.372912003,0.462397998,0.698970004
visayan everetti,f,1.820201459,1.382017043,1.056904851,0.84509804,0.838849091,0.84509804,0.69019608,1.31386722,1.204119983,1.558708571,1.629409599,1.328379603,1.567026366,1.396199347,0.397940009,0.643452676
visayan everetti,f,1.797959644,1.369215857,1.049218023,0.785329835,0.812913357,0.875061263,0.681241237,1.301029996,1.155336037,1.487138375,1.587710965,1.309630167,1.530199698,1.336459734,0.322219295,0.531478917
visayan everetti,f,1.812913357,1.372912003,1.029383778,0.851258349,0.851258349,0.86332286,0.698970004,1.31386722,1.170261715,1.519827994,1.600972896,1.336459734,1.552668216,1.357934847,0.397940009,0.591064607
visayan everetti,f,1.871572936,1.424881637,1.064457989,0.851258349,0.851258349,0.880813592,0.716003344,1.334453751,1.190331698,1.568201724,1.632457292,1.359835482,1.546542663,1.344392274,0.477121255,0.602059991
visayan everetti,f,1.796574333,1.383815366,1.049218023,0.785329835,0.806179974,0.86332286,0.785329835,1.28780173,1.139879086,1.531478917,1.583198774,1.305351369,1.506505032,1.33243846,0.322219295,0.568201724
