,everetti,everetti,everetti,everetti,everetti,everetti,everetti,everetti,everetti,visayan,visayan,visayan,visayan,visayan,visayan,visayan,visayan,visayan,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis,luzonensis
SVL,79.46,78.29,61.7,72.4,76.4,72.7,65,64.6,67.9,57.55,56.74,55.16,50,52.45,44.61,51.16,45.78,55.33,51.47,42.1,58.7,54.3,56.9,62.1,55.1,56.94,58.3,52,50.66,55.84,58.97,54.87,54.22,57.83,50.91,53.46,63.57,59,38.4,60.55,59.24,61,61.7,56.14,55.1,54.86,63.8,59.74,57.3,51.4,54.5,50.5,46.6,46.9,48,52.2,57.7,52.1,53.9,49.3,49.6,47.9,44,47.6,46.7,43.4,44.5,43.4,50,63.1,51.6,61.3,48.3,56.8,67.1,59.3,66.8,53.3,60.1,62.2,59.5
HL,30.25,29.15,22.8,29.4,28.5,28.6,24.1,24.6,27.2,21.53,21.67,20.15,22.64,20,17.3,19.79,18.45,21,20.73,21.78,23.73,23.5,25.33,23.25,22.4,23.87,23.68,22.3,20.5,22.37,24.1,23.57,23.9,23.67,21.61,22.75,24.67,24.1,23.44,24.02,25.14,24.54,24.18,23.8,21.6,23.3,25.14,23.39,23.38,21.6,20.7,21.7,19,19,19,21.5,22.2,21.3,22.1,21,18,18.9,19.1,20,18,18.1,18,17.8,20.1,23.8,20.6,23.9,19,21.2,24.5,22.5,24.8,20.8,21.7,23.5,22.6
SL,13.27,13.38,10.3,13.3,12.9,13,10.7,11.7,12.4,8.73,9.25,9.44,10.35,9.72,7.11,9,8.8,10.04,9.66,10.19,11.44,10.4,12.06,10.87,10.62,11.17,11.4,10.8,9.3,10.56,11.27,10.8,11.07,11.34,10.22,11.12,11.67,11.6,11.34,10.99,11.59,11.37,11.2,11.46,10.45,10.83,11.74,11.35,11.46,9.9,8.8,9.6,8,8.1,8,9.7,10.5,10,10.1,9.2,8.3,8.5,8.7,9,8.2,8.2,8.3,8.4,8.9,11.3,9.3,10.9,9.2,9.5,11.6,10.3,11.8,9.5,10.6,10.7,10.4
IOD,7.41,7.21,6.9,7.9,7.8,7.5,6.9,7.5,7.5,5.08,5.12,5.15,5.44,4.95,4.3,5.32,5.02,5.5,7.15,6.66,7.35,7.13,7.62,7.84,7.32,7.03,7.82,6.54,6.31,7,7.11,6.95,7.2,8,6.1,6.45,7.03,6.42,7.35,7.35,7.4,7.54,7.42,7.42,6.57,7.2,7.75,7.32,7.83,5.3,5.5,5.6,4,4.5,4.8,4.4,5.4,5.4,5.5,4.9,4.5,4,4,4.3,4.2,4.4,4.1,4.1,4.9,5.5,4.1,5.5,4.9,5.3,5.9,5.5,6.9,5.1,5.7,5.8,5
IND,7.73,7.55,5.8,7.6,7,7.1,6.4,6.3,7.2,5.3,5.11,5.1,5.4,5.04,4.4,5.37,4.89,5.7,6.08,5.24,5.79,5.7,5.81,6.07,5.61,6.42,5.66,5.53,5.56,5.47,5.58,6,6.75,6.17,5.18,5.81,5.89,5.88,5.75,6.38,6.15,6.08,5.91,6.03,5.68,5.62,5.85,6.15,5.72,4.8,5.2,5.3,4.5,4.7,4.4,4.7,4.5,4.7,4.8,4.9,4,4.1,4.1,4.4,4,3.9,4,4.3,4.6,5.7,4.2,5.6,4.3,5.9,5.8,5.4,5.5,4.9,5.4,5.2,5.1
ED,8.54,7.3,6,7.5,7.2,7.4,6.1,7.4,7.2,6.55,6.61,6.65,7.3,6.15,5.3,6.04,5.42,6,7.15,6.94,6.78,7.74,7.16,7.67,6.88,6.98,7.01,7.06,6.66,6.9,7.04,7.15,7.88,6.78,6.78,6.45,7.55,6.93,7.42,7.02,7.15,7.4,8.3,7.65,6.99,6.76,8.17,7.41,8.05,6.7,7.2,7.8,7.1,6.3,5.9,7.6,8,7.1,7.2,7,5.8,6.3,6.2,7.1,6,6.8,5.5,6.2,7.2,6.8,6.8,7.1,6.1,6.5,7.2,6.4,7.7,6.4,5.6,6.6,7.3
TD,8.53,7.53,5.7,8.4,7.6,8,6.3,6.6,6.6,5.33,5.21,5.2,5.16,4.61,4.12,4.59,3.89,4.74,5.18,5.82,5.89,5.84,6.32,5.8,6.1,5.94,5.9,5.6,4.94,5.7,6.04,5.8,6.37,6.09,5.63,5.51,6.05,5.61,6.13,5.6,6.54,6.24,5.88,6.17,5.76,5.49,5.72,6.1,6.36,5.4,4.3,4.3,4.2,4.1,4.1,4.8,4.7,4.8,4.7,5,4.5,4.8,4.2,4.7,4.4,4.4,4.4,4,5.2,5.4,5.2,5,4.3,4.6,5.6,4.8,5,4.9,4.4,5.3,4.7
HW,25.46,25.26,19.5,23.8,23.9,24,20,21.1,21.6,16.31,16.67,15.84,17.13,14.99,13.6,14.4,13.88,15.8,16.02,16.05,17.64,17.45,18.42,17.83,16.35,17.75,18.14,16.89,15.9,18,19.03,17.99,18,18.46,16.71,17.69,18.6,17.88,18.07,18.3,18.47,18.09,18.56,18.28,16.1,16.91,19.6,17.74,18.36,17.1,16.6,18.4,15.9,15.8,15.7,16.9,16.9,17.3,17.6,16.3,15,15.2,15.1,15.9,15.2,14.7,14.6,14.1,16.1,19.1,15.5,20,15.6,17.7,21.1,18.3,21.3,16.9,19.1,19.6,18.9
FA,18.6,16.44,12.8,13.3,14.1,13.7,12.5,12.4,13.4,12.77,12.48,12.76,13.29,11.62,9.6,10.37,9.76,12.43,12.38,13.06,15.32,13.52,14.46,13.19,11.12,13.74,12.92,12,11.8,13.86,14.38,13.2,14.2,14.85,11.86,13.15,15.37,15.04,14.93,15.6,14.27,14.1,14.13,13.97,13.55,13.3,15.07,14.99,14.7,11.3,11,11.5,9.4,10.1,9.2,12.1,11.1,11.7,12,10.3,10.1,9.8,9.6,10.3,9.3,8.8,9.1,9.1,10.5,12.5,9.2,11.9,10.2,11.3,13.9,11.8,14.1,10.6,12.5,13.2,11.9
FL,43.64,40.62,34.5,41.8,44.2,41.7,35.6,38.2,37.4,30,30.92,30.22,31.75,26.56,22.5,27.36,27.4,27.85,29.26,28.74,32.94,30.5,31.06,32.93,26.87,33.1,32.84,29.1,27.85,30.7,33.33,30.3,32.6,32.7,29.3,31.02,34.56,32.23,33.08,33.3,32.7,33.7,32.33,32.34,29.5,29.83,35.3,34.15,33.1,27.7,25.8,29,24.5,25,25.7,26.5,29.4,28.1,28.7,27.9,25.7,25,25.3,24.9,25.6,23.9,23.8,22.6,27.4,31.9,25.1,32.5,25.6,30.4,33.8,31.2,34,28.6,31.6,32.8,30.8
TBL,47.71,44.48,36.8,44.6,47.4,44.6,38.9,41.5,44.8,34.92,33.84,34.88,34.36,30.13,27.06,30.31,29,32.06,32.29,31.44,36.76,33.51,34.86,36.24,29.28,35.61,35.99,32.74,30.22,33.99,36.3,34.55,35.73,35.99,31.39,35.45,38.81,35.92,35.34,36.36,35.16,36.89,34.87,35.96,32.89,33.33,39.76,36.75,36.33,30.5,30,32.6,26.7,27.8,28.1,29.3,31.1,31.6,32.6,31.3,26.9,27.6,27.1,27.6,27.7,25.7,26.4,25.1,29.9,34.9,28.5,34.9,28.7,33.2,37,33.2,37.6,31.1,34.5,36.1,33.5
TarL,25.88,24.42,20.7,25.5,26.5,24.4,21.9,23,23.7,17.44,17.33,17.65,18.19,15.31,14.05,14.95,15.2,17.28,17.66,17.53,19.62,18.6,19.22,19.53,16.87,19,19.12,17.01,16.67,18.26,19.08,18.08,19.55,18.82,17.51,18.5,20.32,19.55,19.44,19.7,18.13,18.8,18.77,18.82,17.25,18.33,22.36,18.93,19.46,17.9,17.3,18.6,15.3,16.1,15.5,17.2,17.5,18.2,17.9,18,15.4,15.4,16,15.8,15.2,15,14.8,14,17.2,19.8,15.9,19.9,16.8,19.6,20.9,18.9,21.3,18.9,19.7,20.5,19.9
PL,43.1,39.82,33.9,41.9,46.6,41.3,36.5,37.4,41.8,28.44,28.76,25.13,27.8,25.65,22.7,24.26,25.94,27.2,28.18,27.67,31.96,29.07,31.24,30.39,26.33,32,31.24,25.67,25.75,30.03,33.08,28.15,30.94,32.13,26.88,31.34,33.9,30.88,32.62,32.15,31.99,30.93,29.99,30.08,28.3,28.62,35,31.4,30,28.1,28.2,30.1,24.8,24.6,25,28.2,28.5,28.3,22.9,26.8,24.3,24.6,23.8,24.1,25.1,22.6,23,23.1,26.3,32.7,25.4,33.2,27.3,31.8,34.9,30.6,34.2,29.7,31.6,31.8,31.1
ML,26.33,24.51,24.5,26.8,27.8,26.3,21.8,22.6,23,17.78,18.13,15.64,17,17.86,15.34,16,17.4,18.93,17.37,16.71,18.98,18.21,19.43,18.56,15.62,17.41,17.47,17.17,15.32,16.94,19.4,17.87,18.51,19.36,16.4,17.32,19.12,18.61,19.39,19.4,17.94,17.79,18.23,17.83,16.78,17.06,19.69,17.86,18.19,17.2,17,18.9,14.9,15.4,15.8,17,17.5,17.7,18.7,17,16,14.9,15.2,15.9,15.1,14.9,15.2,14.1,16.8,19.8,17.1,20.4,16.3,19.9,21.3,19,22,16.2,19.5,19.6,18.6
NPL,12.39,11.6,8.5,8,8.7,8.6,9.5,9.3,8.5,6.04,7.37,7.22,7.91,6.97,6.76,6.65,6.88,7,8.2,8.06,8.78,8.28,8.77,7.79,7.6,7.82,8.73,8.12,8.02,8.75,9.25,8.92,8.92,9.38,7.93,8.73,9.3,8.89,8.12,9.63,9.39,9.19,8.86,8.11,8.44,8.29,10.17,8.54,8.83,7.8,7.5,8.5,7,7.3,7.1,8,7.7,7.9,8.1,7.3,6.5,7.7,7,7.1,6.9,6.4,6.8,6.7,7.1,9.3,6.9,9.4,7.2,8.8,9.9,9.2,10.3,7.9,8.9,10,9.4
Toe4DW,2.76,2.37,2.1,2.5,2.8,2.6,2.3,2.3,2.7,0.91,1.84,1.6,2.09,1.46,1.42,1.6,1.72,1.66,1.82,1.99,2.18,1.95,2.19,2.2,1.94,2.09,2.08,2.1,1.87,2.5,2.01,2.13,1.94,2.19,1.9,2.18,2.36,1.68,2.17,2.42,2,2.4,2.41,2.17,1.48,2.09,2.51,1.76,1.99,1.8,1.9,2.1,1.9,1.6,1.8,1.9,1.8,1.7,2,2,1.8,1.6,1.6,1.8,1.4,1.4,1.5,1.7,1.9,2.3,1.7,2.3,1.6,2,2.5,2.2,2.2,2.2,2.1,2.6,1.9
Fin3DW,4.63,4.55,4.4,3.8,4.2,4.1,3.3,3.4,3.8,1.98,3.41,2.7,3.27,2.37,2.67,2.69,3.03,3.3,2.67,2.67,3.31,3.02,2.97,2.7,2.61,3.09,3.03,2.87,3.04,3.41,2.89,3.42,2.97,2.95,2.76,2.83,3.14,2.51,2.97,3.3,3,3.12,3.51,3.04,2.6,3.37,3.72,2.7,3.06,3.4,3.1,3.4,3,2.2,2.7,3.2,3.1,3.1,2.6,3.3,2.9,2.9,2.7,3,2.6,2.7,2.4,2,2.7,4.2,3.3,3.9,2.9,3.6,4.3,3.7,3.8,3.2,3.3,3.6,3.8
