species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
albotuberculata,f,Mindanao,77.9,29,12.9,9.7,7.3,7.9,5.6,26.4,17.8,42,43.3,24.8,43.1,30,2.9,5.4
albotuberculata,f,Mindanao,85.9,31.2,14.3,10.8,8.3,8.9,6.5,28.6,17.2,46.8,51,26.3,50.1,34.8,3.3,6.8
albotuberculata,f,Mindanao,88.1,29.8,14.1,10.7,7.6,7.7,5.8,28.8,18.5,49.3,53,29.1,48.9,31.8,3.2,6.3
albotuberculata,f,Mindanao,65.9,24.2,12.9,7.9,6.6,7,5.7,20.1,13,36.1,38.7,23,36.6,25.3,2.2,4.4
albotuberculata,f,Mindanao,69.8,24.9,6.4,8.3,7,6.4,5.2,22.4,14,38.7,42.9,22.5,39.5,27.2,2.5,5.6
albotuberculata,f,Mindanao,76.1,27.3,13.8,9.1,7.4,7.3,5.8,25.7,16.8,44.1,47.4,27.1,44.3,30.3,2.8,6
albotuberculata,f,Mindanao,84.9,32.1,15.4,10.4,7.7,8.8,6.4,29.1,18.9,46.7,51.4,28.9,48,31.7,3.1,6.4
albotuberculata,f,Mindanao,71.9,26.9,12.3,8.2,6.7,7.8,5.5,23.9,16,41.8,45.3,24.9,43.5,30.4,2.4,4.9
albotuberculata,f,Mindanao,80,28.5,14.2,8.5,7.7,7.2,5.4,28.5,17.3,43.6,46.3,25.5,44.7,30.7,2.5,5.7
albotuberculata,f,Mindanao,63.8,22.7,10.6,7,6.5,5.9,5.3,19.9,12.6,33.5,37,21.2,35.2,24.8,1.9,4.1
albotuberculata,f,Samar,73.8,27.2,12.1,6.2,7.4,8.4,6.4,23,16.6,36.2,40.8,21.9,36.4,24.7,2.1,4.5
aurantipunctata,f,Luzon,66.9,23.5,11.3,7.3,6.7,6.2,4.1,23.3,14.2,35.2,36.2,20.8,37.5,26.7,2.6,5.1
aurantipunctata,f,Luzon,69.1,28.5,10.8,8.3,6.9,6.7,3.7,23.3,15.3,36.5,38.3,21.9,37.3,26.6,2.7,5.3
aurantipunctata,f,Luzon,60.9,21.5,9.5,6.2,6.1,6.4,3.7,22.2,13.6,34.1,35.5,20.6,34.4,23.9,2.5,5.1
aurantipunctata,f,Luzon,64.2,24.2,11.4,8.6,6.8,7,4.2,24.6,14.1,35.4,38.1,21.4,34.4,24.8,2.8,4.4
aurantipunctata,f,Luzon,67.8,25.2,11.5,8.5,7.1,7.1,4.2,24.2,13.7,36.5,38.8,22,35.4,23.4,2.9,4.8
aurantipunctata,f,Luzon,86.3,31.3,15,10.2,7.3,8,6.1,29.4,18.8,47.6,52.5,30.1,48.6,32.8,3,4.7
aurantipunctata,f,Luzon,62.2,21.6,9.5,7.6,6.2,6.3,4,21.9,13.4,31.9,33.6,20.5,33.8,24.2,2.2,5
aurantipunctata,f,Luzon,63.5,22.1,10,8,6.1,5.9,3.6,22.4,14.4,32.9,34.6,19.1,34.2,24.4,2.1,4.5
aurantipunctata,f,Luzon,62.5,21.2,9.9,7.5,6.5,5.6,3.8,22.1,14.5,34.2,35.6,20,35.5,24.7,2.4,4.5
aurantipunctata,f,Luzon,59.1,20.9,9.2,7.1,6.2,5.7,3.7,19.9,13.5,31.7,33.7,19.5,31.6,22.7,2,4.5
everetti,f,Bohol,73.7,26.8,12.7,7.8,8.1,8.2,6.6,24.5,17.5,39.5,45.2,23.5,39.5,25.7,2.8,5.1
everetti,f,Mindanao,87,31.2,14.4,10.7,8.4,9.8,6.6,29.2,22.2,49.7,53.7,28.5,50.1,32.6,3.1,7.4
everetti,f,Mindanao,77.8,29.9,13.3,7.4,7.5,7.8,9.3,24.6,18.1,40.9,45,23.3,41.5,23.8,2.7,4.5
everetti,f,Mindanao,86.3,31.9,15.3,9.6,9,8.4,6.9,29.9,17.5,49.3,55,29.2,53.9,31.4,3.5,5.2
igorata,f,Luzon,72.1,26.1,12.1,6.1,6.6,7.8,4.2,26.1,14.5,38.1,41.6,23.9,35.9,22.4,2.9,4.9
igorata,f,Luzon,78.1,27.3,13,7.5,6.8,8.3,4.3,27.7,16.2,42.9,45.7,25.2,40.2,25.2,3.1,4.9
igorata,f,Luzon,81.7,28.1,13.2,7.2,7.2,8.2,4.7,27.3,15.9,43.1,46.5,25.6,43.9,26.9,3.2,5.4
igorata,f,Luzon,73.3,26.6,12.1,6.6,6.8,8.1,3.9,25.2,15.1,39.2,41.5,23.4,36.5,23.7,3.1,4.9
igorata,f,Luzon,76.6,26.8,12.1,6.7,6.5,8.7,4.6,26.6,15.8,40.3,42.9,23.4,40.3,25.8,3,4.8
igorata,f,Luzon,77.1,28.2,12.4,6.7,7.2,7.9,4.1,27.1,16.2,42.9,45.9,24.8,41.9,26,3.2,5.4
igorata,f,Luzon,79.2,28.5,12.2,6.7,8,8.7,4.6,28.2,15.5,41.2,43.3,23.5,40.5,22.7,3.1,5.2
igorata,f,Luzon,78.3,27.1,12,6.9,6.9,8.2,4.2,26.7,15.1,40.5,40.8,22.7,39.7,23.3,3.1,5
igorata,f,Luzon,72.8,25.4,11.3,6.6,6.7,6.8,3.7,25.1,14.3,40.4,42.3,23.9,40.4,24.9,2.8,4.8
igorata,f,Luzon,77.9,28.3,12.4,7.4,7.6,8.7,4.2,28.3,15.4,39.4,42.9,24.2,39.2,26,3.2,4.8
igorata,f,Luzon,67.6,25.8,11.7,6.5,6.6,8.2,3.4,24.7,15,39.7,41.1,22.8,39.5,25.1,3,4.9
igorata ,f,Luzon,49.7,18.6,8.2,4.5,6.1,6,4,15.3,10.5,26.4,30.1,15.4,24.3,16,1.4,2.5
luzonensis,f,Luzon,82.5,28.2,14.4,7.7,6.9,8.2,5.3,26.7,17.1,44.2,47.5,27.1,43.3,26.1,3.2,5.1
luzonensis,f,Luzon,88.5,31,14.5,8.1,7.6,8.7,5.5,29.4,18.9,45,48.4,28.7,46.5,27.7,3.4,5.8
luzonensis,f,Luzon,83.8,29.3,13.5,8.2,6.6,9.5,5.8,28.7,16.7,42,46.5,25.8,42.2,25.7,3.4,5.4
luzonensis,f,Luzon,77.3,28.4,13,7.6,4.9,8.1,5.6,26.9,15.6,40.9,46,25.3,41.7,27.5,3.1,4.9
luzonensis,f,Luzon,67.6,27.6,12.2,7.6,4.8,9,5.8,24.3,16.4,38.1,42.8,24.5,39.9,23.8,2.4,4.8
luzonensis,f,Luzon,79.1,29,13.5,8.1,6.7,9.6,6,27.9,17.4,41.9,46.6,26.1,44.8,28,3.1,5.6
luzonensis,f,Luzon,70.9,25.6,12.1,6.7,6.6,8.2,4.4,23.6,14.4,36.8,40.7,22,37.2,22.6,2.7,4.1
luzonensis,f,Luzon,83.1,30.3,14.3,8,7.2,9.8,6.4,26.6,16.2,42.7,46.1,25.9,43.5,27.7,3.1,5.7
luzonensis,f,Luzon,72.6,27.3,12.5,6.3,6.9,8.9,4.8,26.2,15,40.3,45.4,24.9,40.3,25.8,2.7,4.6
luzonensis,f,Luzon,69.4,26.3,12.1,6.8,6.1,8,5.4,23.5,13.8,36,39.1,22.3,36,24.4,2.7,5.2
luzonensis,f,Luzon,66.5,24.8,11.4,6.2,6.2,7,5,22.9,14.6,36.6,40.8,23.5,38,23,2.4,4.4
luzonensis,f,Luzon,66.2,25.7,12,6.4,6.1,7.9,5.2,23.2,15.8,39,43.1,24,37.3,22.8,2.6,3.9
luzonensis,f,Luzon,71.3,28.7,12.8,7,6.9,9.6,3.8,27.8,15.6,40.1,44.7,25.7,41,25.9,2.4,4.3
luzonensis,f,Luzon,67.7,25,12.2,6.2,5.5,8.1,5.4,23.8,13.7,37,40.7,23.2,36.3,23,4.9,5.5
luzonensis,f,Luzon,71,27.3,12.7,7.2,6.1,9.3,5.7,24.7,15.9,37,42.2,24.6,39,23.9,2.5,4.6
luzonensis,f,Luzon,82,26.7,12,7.4,6.6,9.4,5.4,26.9,16.2,42.2,46.4,25.7,41.4,26.5,2.4,4.4
luzonensis,f,Luzon,73.1,27.3,12.7,8.9,7.5,8.9,5.9,23.5,16.6,40.5,44.5,23.3,34.6,25.3,3.7,5.9
luzonensis,f,Luzon,83.7,29.7,14.3,9.9,8.9,8.9,6.5,26.1,18.8,47.8,52.5,26.7,43.1,25.5,3.1,4.2
luzonensis,f,Luzon,73.4,27.4,13,9.2,6.9,8.5,5.9,23.4,18.4,39.7,45.6,23.7,38.3,22,2.8,4.3
luzonensis,f,Luzon,76.4,28.4,13.2,9.5,7.7,9.2,6,24.1,17.4,42.7,47.1,25.9,39.7,24,3,4.2
luzonensis,f,Luzon,76.8,29.6,14.1,10.3,7.5,8.9,6.8,25,19,42.8,48.9,25.4,41.4,24,3.1,4.6
luzonensis,f,Luzon,72.6,28,13,7.2,7.8,8.7,5.5,24.5,18.6,42.3,46.5,25.5,40,24.5,3.1,4.9
luzonensis,f,Luzon,49.4,19.6,8.5,4.4,5.2,6.4,4.2,15.4,9.7,29,31.3,17,25.4,16.1,1.8,2.4
sanguinea,f,Palawan,64.4,23.6,11,5.4,5.7,6.4,4.4,20.8,12.8,35.6,41.3,21.8,36.9,18.1,2.2,1.9
sanguinea,f,Palawan,65.8,25.2,11.2,5.6,6.2,7,4.8,22.7,13,39.6,44.5,23.7,38.5,19.4,2,2
sanguinea,f,Palawan,67.3,25.6,11.5,6,5.8,7.8,4.9,23.4,15.4,39.7,46.9,25.4,42.3,19.9,2.1,1.9
sanguinea,f,Palawan,67.1,24.7,11.4,6.2,6.1,7.1,4.2,22.3,13.7,40.8,44.3,25.1,39.2,19.3,2.2,2
sanguinea,f,Palawan,66.2,24.3,11.3,6.1,5.8,7.2,4.9,21.7,14.1,37.3,44.3,23.5,38.4,19,2.2,2
sanguinea,f,Palawan,71,25.9,12.3,5.8,6.1,6.8,4.4,22.6,14.2,40.4,46.5,24.8,37.8,18.9,2.2,2
sanguinea,f,Palawan,64.2,23.6,11.6,5.1,5.7,6.3,4.5,20.6,12.4,36.7,40.9,22.6,35.3,18.1,1.7,1.6
