species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
everetti,f,Bohol,73.7,26.8,12.7,7.8,8.1,8.2,6.6,24.5,17.5,39.5,45.2,23.5,39.5,25.7,2.8,5.1
everetti,f,Mindanao,87,31.2,14.4,10.7,8.4,9.8,6.6,29.2,22.2,49.7,53.7,28.5,50.1,32.6,3.1,7.4
everetti,f,Mindanao,77.8,29.9,13.3,7.4,7.5,7.8,9.3,24.6,18.1,40.9,45,23.3,41.5,23.8,2.7,4.5
everetti,f,Mindanao,86.3,31.9,15.3,9.6,9,8.4,6.9,29.9,17.5,49.3,55,29.2,53.9,31.4,3.5,5.2
visayan,f,Panay,80.3,28.1,12.8,7.7,6.7,7.8,5.2,24.6,14.8,43.6,49.1,25.4,43.1,27.3,2.7,4.2
visayan,f,Negros,73.6,27.3,12.6,8,6.4,7.2,5.9,23.3,14.6,39.1,43.5,23.3,40.8,25.5,2.7,4.2
visayan,f,Negros,72.3,27.4,12.7,8,6,7.4,4.6,22.6,16,42.9,47.7,24.9,42.1,26.5,3,5.3
visayan,f,Negros,79.7,29.3,12.8,10.5,6.1,10.2,5.7,25.9,15.3,46.2,50.8,25.8,42.5,26.8,2.6,4.7
visayan,f,Negros,74.4,26.5,12,7.3,6.3,8.1,5.7,22.5,15,40.7,46.3,25.5,39.3,23.3,2.3,3.8
visayan,f,Negros,75.6,27.9,12.5,7.5,6.7,7.5,6.1,23.8,15.9,43.6,47.9,25.1,42.3,26.6,5.1,6.7
visayan,f,Negros,75.1,27.7,13.4,8.8,6.6,7.1,5.3,24.9,16.7,42.8,48,25.4,44.8,27.8,5.1,6.6
visayan,f,Negros,78,28.1,12.6,7.6,7.4,8.1,5.9,24.1,18.4,42.9,49.5,25.4,40.7,24.4,2.1,4.3
visayan,f,Negros,65.4,26,12.5,6.2,6.2,7.5,4.7,21.4,14.3,35.8,43,21.9,34.8,22.2,2.1,3.7
visayan,f,Negros,75.2,28,12.9,7.3,7.4,9.1,5.5,25,17.4,34.9,44.1,24.1,36.4,25,2.5,4.9
visayan,f,Negros,78.8,27.5,12.2,6.5,7.6,8.8,5.3,23.3,18.2,37.2,43.7,22.4,37.1,23.6,2.9,5
visayan,f,Negros,66.1,24.1,11.4,7,6.9,7,4.9,20.6,16,36.2,42.6,21.3,36.9,24.9,2.5,4.4
visayan,f,Negros,62.8,23.4,11.2,6.1,6.5,7.5,4.8,20,14.3,30.7,38.7,20.4,33.9,21.7,2.1,3.4
visayan,f,Negros,65,23.6,10.7,7.1,7.1,7.3,5,20.6,14.8,33.1,39.9,21.7,35.7,22.8,2.5,3.9
visayan,f,Negros,74.4,26.6,11.6,7.1,7.1,7.6,5.2,21.6,15.5,37,42.9,22.9,35.2,22.1,3,4
visayan,f,Negros,62.6,24.2,11.2,6.1,6.4,7.3,6.1,19.4,13.8,34,38.3,20.2,32.1,21.5,2.1,3.7
luzonensis,female,Luzon,77.3,28.4,13,7.6,4.9,8.1,5.6,26.9,15.6,40.9,46,25.3,41.7,27.5,3.1,4.9
luzonensis,female,Luzon,67.6,27.6,12.2,7.6,4.8,9,5.8,24.3,16.4,38.1,42.8,24.5,39.9,23.8,2.4,4.8
luzonensis,female,Luzon,79.1,29,13.5,8.1,6.7,9.6,6,27.9,17.4,41.9,46.6,26.1,44.8,28,3.1,5.6
luzonensis,female,Luzon,70.9,25.6,12.1,6.7,6.6,8.2,4.4,23.6,14.4,36.8,40.7,22,37.2,22.6,2.7,4.1
luzonensis,female,Luzon,83.1,30.3,14.3,8,7.2,9.8,6.4,26.6,16.2,42.7,46.1,25.9,43.5,27.7,3.1,5.7
luzonensis,female,Luzon,72.6,27.3,12.5,6.3,6.9,8.9,4.8,26.2,15,40.3,45.4,24.9,40.3,25.8,2.7,4.6
luzonensis,female,Luzon,69.4,26.3,12.1,6.8,6.1,8,5.4,23.5,13.8,36,39.1,22.3,36,24.4,2.7,5.2
luzonensis,female,Luzon,66.5,24.8,11.4,6.2,6.2,7,5,22.9,14.6,36.6,40.8,23.5,38,23,2.4,4.4
luzonensis,female,Luzon,66.2,25.7,12,6.4,6.1,7.9,5.2,23.2,15.8,39,43.1,24,37.3,22.8,2.6,3.9
luzonensis,female,Luzon,71.3,28.7,12.8,7,6.9,9.6,3.8,27.8,15.6,40.1,44.7,25.7,41,25.9,2.4,4.3
luzonensis,female,Luzon,67.7,25,12.2,6.2,5.5,8.1,5.4,23.8,13.7,37,40.7,23.2,36.3,23,4.9,5.5
luzonensis,female,Luzon,71,27.3,12.7,7.2,6.1,9.3,5.7,24.7,15.9,37,42.2,24.6,39,23.9,2.5,4.6
luzonensis,female,Luzon,82,26.7,12,7.4,6.6,9.4,5.4,26.9,16.2,42.2,46.4,25.7,41.4,26.5,2.4,4.4
luzonensis,female,Luzon,82.5,28.2,14.4,7.7,6.9,8.2,5.3,26.7,17.1,44.2,47.5,27.1,43.3,26.1,3.2,5.1
luzonensis,female,Luzon,88.5,31,14.5,8.1,7.6,8.7,5.5,29.4,18.9,45,48.4,28.7,46.5,27.7,3.4,5.8
luzonensis,female,Luzon,83.8,29.3,13.5,8.2,6.6,9.5,5.8,28.7,16.7,42,46.5,25.8,42.2,25.7,3.4,5.4
