species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
everetti,f,1.867467488,1.428134794,1.103803721,0.892094603,0.908485019,0.913813852,0.819543936,1.389166084,1.243038049,1.596597096,1.655138435,1.371067862,1.596597096,1.409933123,0.447158031,0.707570176
everetti,f,1.939519253,1.494154594,1.158362492,1.029383778,0.924279286,0.991226076,0.819543936,1.465382851,1.346352974,1.696356389,1.729974286,1.45484486,1.699837726,1.5132176,0.491361694,0.86923172
everetti,f,1.890979597,1.475671188,1.123851641,0.86923172,0.875061263,0.892094603,0.968482949,1.390935107,1.257678575,1.611723308,1.653212514,1.367355921,1.618048097,1.376576957,0.431363764,0.653212514
everetti,f,1.936010796,1.503790683,1.184691431,0.982271233,0.954242509,0.924279286,0.838849091,1.475671188,1.243038049,1.692846919,1.740362689,1.465382851,1.731588765,1.496929648,0.544068044,0.716003344
luzonensis,f,1.916453949,1.450249108,1.158362492,0.886490725,0.838849091,0.913813852,0.72427587,1.426511261,1.23299611,1.645422269,1.67669361,1.432969291,1.636487896,1.416640507,0.505149978,0.707570176
luzonensis,f,1.946943271,1.491361694,1.161368002,0.908485019,0.880813592,0.939519253,0.740362689,1.46834733,1.276461804,1.653212514,1.684845362,1.457881897,1.667452953,1.442479769,0.531478917,0.763427994
luzonensis,f,1.923244019,1.46686762,1.130333768,0.913813852,0.819543936,0.977723605,0.763427994,1.457881897,1.222716471,1.62324929,1.667452953,1.411619706,1.625312451,1.409933123,0.531478917,0.73239376
luzonensis,f,1.888179494,1.45331834,1.113943352,0.880813592,0.69019608,0.908485019,0.748188027,1.42975228,1.193124598,1.611723308,1.662757832,1.403120521,1.620136055,1.439332694,0.491361694,0.69019608
luzonensis,f,1.829946696,1.440909082,1.086359831,0.880813592,0.681241237,0.954242509,0.763427994,1.385606274,1.214843848,1.580924976,1.631443769,1.389166084,1.600972896,1.376576957,0.380211242,0.681241237
luzonensis,f,1.898176483,1.462397998,1.130333768,0.908485019,0.826074803,0.982271233,0.77815125,1.445604203,1.240549248,1.622214023,1.668385917,1.416640507,1.651278014,1.447158031,0.491361694,0.748188027
luzonensis,f,1.850646235,1.408239965,1.08278537,0.826074803,0.819543936,0.913813852,0.643452676,1.372912003,1.158362492,1.565847819,1.609594409,1.342422681,1.57054294,1.354108439,0.431363764,0.612783857
luzonensis,f,1.919601024,1.481442629,1.155336037,0.903089987,0.857332496,0.991226076,0.806179974,1.424881637,1.209515015,1.630427875,1.663700925,1.413299764,1.638489257,1.442479769,0.491361694,0.755874856
luzonensis,f,1.860936621,1.436162647,1.096910013,0.799340549,0.838849091,0.949390007,0.681241237,1.418301291,1.176091259,1.605305046,1.657055853,1.396199347,1.605305046,1.411619706,0.431363764,0.662757832
luzonensis,f,1.84135947,1.419955748,1.08278537,0.832508913,0.785329835,0.903089987,0.73239376,1.371067862,1.139879086,1.556302501,1.592176757,1.348304863,1.556302501,1.387389826,0.431363764,0.716003344
luzonensis,f,1.822821645,1.394451681,1.056904851,0.792391689,0.792391689,0.84509804,0.698970004,1.359835482,1.164352856,1.563481085,1.610660163,1.371067862,1.579783597,1.361727836,0.380211242,0.643452676
luzonensis,f,1.820857989,1.409933123,1.079181246,0.806179974,0.785329835,0.897627091,0.716003344,1.365487985,1.198657087,1.591064607,1.63447727,1.380211242,1.571708832,1.357934847,0.414973348,0.591064607
luzonensis,f,1.85308953,1.457881897,1.10720997,0.84509804,0.838849091,0.982271233,0.579783597,1.444044796,1.193124598,1.603144373,1.650307523,1.409933123,1.612783857,1.413299764,0.380211242,0.633468456
luzonensis,f,1.830588669,1.397940009,1.086359831,0.792391689,0.740362689,0.908485019,0.73239376,1.376576957,1.136720567,1.568201724,1.609594409,1.365487985,1.559906625,1.361727836,0.69019608,0.740362689
luzonensis,f,1.851258349,1.436162647,1.103803721,0.857332496,0.785329835,0.968482949,0.755874856,1.392696953,1.201397124,1.568201724,1.625312451,1.390935107,1.591064607,1.378397901,0.397940009,0.662757832
luzonensis,f,1.913813852,1.426511261,1.079181246,0.86923172,0.819543936,0.973127854,0.73239376,1.42975228,1.209515015,1.625312451,1.666517981,1.409933123,1.617000341,1.423245874,0.380211242,0.643452676
luzonensis,f,1.863917377,1.436162647,1.103803721,0.949390007,0.875061263,0.949390007,0.770852012,1.371067862,1.220108088,1.607455023,1.648360011,1.367355921,1.539076099,1.403120521,0.568201724,0.770852012
luzonensis,f,1.922725458,1.472756449,1.155336037,0.995635195,0.949390007,0.949390007,0.812913357,1.416640507,1.274157849,1.679427897,1.720159303,1.426511261,1.63447727,1.40654018,0.491361694,0.62324929
luzonensis,f,1.86569606,1.437750563,1.113943352,0.963787827,0.838849091,0.929418926,0.770852012,1.369215857,1.264817823,1.598790507,1.658964843,1.374748346,1.583198774,1.342422681,0.447158031,0.633468456
luzonensis,f,1.883093359,1.45331834,1.120573931,0.977723605,0.886490725,0.963787827,0.77815125,1.382017043,1.240549248,1.630427875,1.673020907,1.413299764,1.598790507,1.380211242,0.477121255,0.62324929
luzonensis,f,1.88536122,1.471291711,1.149219113,1.012837225,0.875061263,0.949390007,0.832508913,1.397940009,1.278753601,1.631443769,1.689308859,1.404833717,1.617000341,1.380211242,0.491361694,0.662757832
luzonensis,f,1.860936621,1.447158031,1.113943352,0.857332496,0.892094603,0.939519253,0.740362689,1.389166084,1.269512944,1.626340367,1.667452953,1.40654018,1.602059991,1.389166084,0.491361694,0.69019608
luzonensis,f,1.693726949,1.292256071,0.929418926,0.643452676,0.716003344,0.806179974,0.62324929,1.187520721,0.986771734,1.462397998,1.495544338,1.230448921,1.404833717,1.206825876,0.255272505,0.380211242
visayan,f,1.904715545,1.44870632,1.10720997,0.886490725,0.826074803,0.892094603,0.716003344,1.390935107,1.170261715,1.639486489,1.691081492,1.404833717,1.63447727,1.436162647,0.431363764,0.62324929
visayan,f,1.866877814,1.436162647,1.100370545,0.903089987,0.806179974,0.857332496,0.770852012,1.367355921,1.164352856,1.592176757,1.638489257,1.367355921,1.610660163,1.40654018,0.431363764,0.62324929
visayan,f,1.859138297,1.437750563,1.103803721,0.903089987,0.77815125,0.86923172,0.662757832,1.354108439,1.204119983,1.632457292,1.678518379,1.396199347,1.624282096,1.423245874,0.477121255,0.72427587
