,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
SVL,0.21832393,-0.146116893,0.028741322,-0.047256804,0.010312666,-0.231927328,-0.047122425,0.235755336,-0.087890354,0.491499463,-0.702650372,0.039897146,-0.124075335,0.192920444,-0.109902927,-0.083247244
HL,0.178146452,-0.131415237,0.033793189,0.065902601,0.035261054,-0.150491047,0.059358875,0.020002497,0.137475568,0.39826956,0.235984702,-0.103687448,0.200306979,0.104629326,0.754336087,0.231609837
SL,0.186680453,-0.083926358,0.036386827,0.002830618,0.018203899,-0.190068224,0.143559018,-0.171725457,0.377325611,0.460149165,0.448506244,-0.128057659,-0.175992318,-0.025248166,-0.515671566,-0.031972027
IOD,0.303172441,-0.202246887,0.028194704,0.130407765,-0.378798839,0.465439928,-0.577505246,0.094755621,0.298141995,0.046746627,0.014552857,0.207740213,0.046369775,-0.097902816,-0.022538401,0.00910726
IND,0.134437852,-0.230344266,-0.34091976,-0.804942854,0.109156875,-0.113070079,-0.244745341,-0.193166572,-0.105007794,-0.040170921,0.098776568,0.135411713,0.006049353,-0.023327033,0.03756671,0.008339273
ED,0.134218479,-0.234229391,0.278480839,0.207323421,0.582685859,-0.129005886,-0.48503787,0.104873539,-0.218726959,-0.173759309,0.180935348,-0.194781539,-0.077859785,0.201547152,-0.088826845,0.029615098
TD,0.187415822,-0.16288238,-0.803835902,0.48059837,0.044042131,-0.156732655,0.004773201,-0.103449172,-0.074018611,-0.107575873,-0.022978746,-0.010941906,-0.061080221,-0.049374209,-0.008338709,-0.007150401
HW,0.246356427,-0.136595423,0.238927817,0.071026881,0.206097499,-0.321479492,0.089922926,-0.208451632,0.298590551,-0.230635015,-0.222974621,0.208412606,0.375693643,-0.488715262,0.024745395,-0.21225561
FA,0.194732591,-0.197238612,-0.140917001,-0.181242236,0.237905138,0.264140611,0.365964422,0.611925776,0.313877455,-0.231837414,-0.025242172,-0.191158671,0.091348474,0.013631606,-0.09329685,0.170400861
FL,0.254945637,-0.122001482,0.10437741,0.042760255,-0.291839603,-0.103864327,0.148324407,0.124518829,-0.552839396,0.030132407,0.180077219,0.133067788,0.476412845,-0.028241354,-0.287952039,0.326457818
TBL,0.194820165,-0.138828019,0.067647775,-0.058377122,-0.260214571,-0.019539572,0.065676446,0.230637281,-0.301688622,-0.013638592,0.170235001,-0.383675943,-0.201104715,-0.323253007,0.169568679,-0.606719898
TarL,0.204410039,-0.112851467,0.185785885,0.034297726,-0.085994989,-0.165266759,0.190523107,0.085812275,-0.050602408,-0.208953359,0.085023617,0.468646708,-0.67249297,-0.100105014,0.139343075,0.276861245
PL,0.264157083,-0.120090374,0.094143615,-0.005773939,-0.241176147,-0.069478661,0.182983559,-0.212736371,0.136610176,-0.333871913,0.016216124,0.028653648,0.082286086,0.726836374,0.025452392,-0.313437852
ML,0.235749869,-0.087556913,0.120721575,-0.048079627,-0.129032069,0.151631732,0.051411388,-0.460641265,-0.028244902,-0.140781831,-0.293041297,-0.586591212,-0.158650296,-0.123738905,-0.00605843,0.417489866
Toe4DW,0.420953436,0.765175834,-0.074923473,-0.085990387,-0.066863224,-0.28602189,-0.22608813,0.195920983,0.098740824,-0.130689205,0.030017627,-0.118711055,0.001382721,0.007488178,0.002309103,0.081425302
Fin3DW,0.420375886,0.258734443,0.001177989,0.021750569,0.40350288,0.54367215,0.230388962,-0.238197181,-0.248339182,0.206015396,0.013143746,0.219504932,-0.020910617,0.003275795,0.044825957,-0.180908702
