"Sexual dimorphism ANCOVA with SVL as covariate. 
",,,,,,,,
,albotuberculata,aurantipunctata,everetti,igorata,luzonensis,sanguinea,tipanan,visayan everetti
,male N=29; female N=11,male N=10; female N=10,"male N=9, female N=4",male N=20; female N=12,"male N=63, female N=23",male N=10; female N=10,male N=50; female N=14,male N=9; female N=16
SVL (t-test),3.22e-07 ***,8.64e-07 ***,0.0267 *,2.59e-11 ***,<2e-16 ***,2.96e-15 ***,<2e-16 ***,5.17e-09 ***
HL,0.787,0.434,0.182,0.9,0.405,0.127,0.999,0.394
SL,0.626,0.0713,0.779,0.191,0.697,0.535,0.639,0.109
IOD,0.0774,0.651,0.22007,0.164,0.144,0.487,0.3,0.308
IND,0.352,0.0139 * ,0.228,0.00439 ** ,0.847,0.234,0.392,0.0158 *
ED,0.326,0.802549,0.326906,0.536,0.00294 **,0.891,0.623,0.969
TD,0.185,0.01018 *,0.286,0.5596,0.00385 ** ,0.912,0.0346 *,0.26962
HW,0.346,0.127,0.322,0.55,8.61e-10 ***,0.312,0.000141 ***,0.00956 ** 
FA,0.164,0.0469 *,0.0649,0.18,0.844,0.931,0.269,0.569
FL,0.911,0.135,0.581,0.248,0.00386 ** ,0.51,1.81e-05 ***,0.918
TBL,0.305,0.617,0.848,0.00438 **,0.00237 **,0.979,0.000899 ***,0.18
TarL,0.0209 * ,0.718,0.24,0.627,1.65e-05 ***,0.626,0.2,0.0532
PL,0.0645,0.117,0.861453,0.785,0.00938 **,0.237,4.81e-05 ***,0.0299 * 
ML,0.0244 * ,0.136,0.87343,0.17,9.54e-07 ***,0.0172 * ,4.66e-05 ***,0.00842 ** 
Toe4DW,0.332,0.137,0.234635,0.135,0.00808 **,0.913,0.27,0.122
Fin3DW,0.298,0.00302 **,0.10871,0.255,0.000305 ***,0.82,0.313,0.13
