species,adjHL,adjSL,adjIND,adjED,adjTD,adjHW,adjFA,adjFL,adjTBL,adjTarL,adjPL,adjML,adjNPL,adjToe4DW,adjFIn3DW
everetti,1.352793704,0.997080245,0.761383156,0.83070362,0.841663507,1.27073222,1.183329765,1.496855312,1.5375205,1.259525526,1.518146769,1.308067207,1.043293176,0.342443789,0.594159319
everetti,1.342300929,1.005819159,0.761119782,0.768879245,0.791103269,1.273189356,1.132390059,1.472066912,1.51346351,1.240269835,1.488586521,1.282119277,1.016498683,0.280028282,0.597127771
everetti,1.322063002,0.977488901,0.728543603,0.750625951,0.731405559,1.252166575,1.083179068,1.498048506,1.526532651,1.273092679,1.497762663,1.357967623,0.915441335,0.293021281,0.624324998
everetti,1.373940158,1.030822267,0.789005193,0.802620449,0.859881228,1.276916229,1.060607349,1.516508434,1.545865584,1.293695157,1.53684655,1.34602699,0.866303898,0.321096962,0.52944356
everetti,1.340754268,0.99816418,0.734148053,0.769788137,0.802988863,1.257958414,1.072788705,1.518931703,1.550736244,1.286873232,1.565219756,1.344817929,0.89506345,0.354293596,0.562413609
everetti,1.360445322,1.019422528,0.757978076,0.795629533,0.837659498,1.278952751,1.072462341,1.51379017,1.544206762,1.272735669,1.529213966,1.336531589,0.897122607,0.336898351,0.561636767
everetti,1.327074157,0.97524274,0.752749516,0.743170883,0.761862303,1.243029657,1.060103234,1.490535626,1.529732771,1.274770807,1.512610883,1.290671568,0.956314915,0.317006882,0.489217152
everetti,1.338251632,1.016271261,0.748107307,0.828806467,0.783606905,1.268667258,1.058128507,1.523653967,1.560307558,1.298755206,1.525232688,1.308288568,0.947954647,0.318845938,0.503386898
everetti,1.363649549,1.023537342,0.788365359,0.802914429,0.771167646,1.259587888,1.079595226,1.494244354,1.573551142,1.289978344,1.557047616,1.300047856,0.901784949,0.373638708,0.541967795
visayan,1.321943163,0.933908384,0.714044733,0.812167764,0.715564926,1.201515776,1.099716958,1.469695553,1.53248507,1.231476353,1.443376764,1.242576469,0.776143377,0.275188704,0.299948081
visayan,1.331616537,0.965893737,0.702848879,0.816140101,0.711983561,1.217791811,1.093452261,1.486531788,1.524145002,1.233859293,1.454804813,1.25405907,0.86830516,0.253627435,0.530979653
visayan,1.310130758,0.975682953,0.71222927,0.829433792,0.719970167,1.203516865,1.110622167,1.483388488,1.547534258,1.252104916,1.404200954,1.196696416,0.858246849,0.205743379,0.43185645
visayan,1.39439747,1.038572175,0.77166874,0.891638288,0.749442655,1.2739628,1.152615591,1.530932682,1.576252694,1.294900144,1.48220822,1.260558439,0.905334855,0.33590411,0.522667162
visayan,1.323808191,0.998949138,0.721174885,0.808400372,0.681663403,1.199252582,1.080720253,1.440997816,1.50100842,1.204382552,1.431509564,1.269876038,0.849455775,0.183828238,0.382559348
visayan,1.319353618,0.894725992,0.722713729,0.78141939,0.680267914,1.216214011,1.040319919,1.409709749,1.513076477,1.219507217,1.433043673,1.245455615,0.848063993,0.173745436,0.439745404
visayan,1.328442337,0.971230824,0.763371095,0.800484463,0.689132402,1.190674129,1.039720315,1.46023374,1.512750655,1.203561726,1.415706892,1.227868248,0.832154143,0.2149136,0.434639533
visayan,1.33895034,0.982856088,0.760168066,0.782840296,0.650639812,1.216000724,1.042471697,1.488535842,1.533116954,1.243894217,1.481291411,1.294192121,0.85258118,0.254829676,0.484520601
visayan,1.326349089,1.002207821,0.759900706,0.7810537,0.675525527,1.202856344,1.09637011,1.448526142,1.510573859,1.241616196,1.438480815,1.279548156,0.845888118,0.231851672,0.518939663
luzonensis,1.378156934,1.032387186,0.712960874,0.844527993,0.765098547,1.272402126,1.08536785,1.480911662,1.523227983,1.289413874,1.480683273,1.27205253,0.923071701,0.279765255,0.553288235
luzonensis,1.329435779,0.955806367,0.725776515,0.863018128,0.643545163,1.232249517,1.051341408,1.423460997,1.489115447,1.249310903,1.460101561,1.241702395,0.88460565,0.286300088,0.498081386
luzonensis,1.38928385,1.026693431,0.762615452,0.914399007,0.672998791,1.312447945,1.099726104,1.508850696,1.560270118,1.3137041,1.517217096,1.320608529,0.966861001,0.351823726,0.557839879
luzonensis,1.373076819,0.982410665,0.721672019,0.891085295,0.693835014,1.2864459,1.042817075,1.472112442,1.510528662,1.263599559,1.463466542,1.252015059,0.911954947,0.331615541,0.524191627
luzonensis,1.369763443,0.985019328,0.738152524,0.837768458,0.680890053,1.280718279,1.071562559,1.477972636,1.525110843,1.282962127,1.457525621,1.263580422,0.927831224,0.255124994,0.38783957
luzonensis,1.357793129,0.969557916,0.700819325,0.804225587,0.671932203,1.267167525,1.022184935,1.479439244,1.519109937,1.256453924,1.455772027,1.264712832,0.907282077,0.299568945,0.470807075
luzonensis,1.368167234,1.016817683,0.698029693,0.895899675,0.707978465,1.260102405,1.109183011,1.454665197,1.498692645,1.265418125,1.476391307,1.260308547,0.928414773,0.298777221,0.522979805
luzonensis,1.330358285,1.007738639,0.641603617,0.896336405,0.660128412,1.213464713,1.033505556,1.454281852,1.47851329,1.229657346,1.44314179,1.229670799,0.875153586,0.246308537,0.483379821
luzonensis,1.365098469,1.030878562,0.698748299,0.866762488,0.708719389,1.271154543,1.095315017,1.480996315,1.532394022,1.290789349,1.47865307,1.278660343,0.923653661,0.251027423,0.50968561
luzonensis,1.363573626,1.020451844,0.695163004,0.865431612,0.686452008,1.262807991,1.093353085,1.474749677,1.530303185,1.268899606,1.373870185,1.287872048,0.922080885,0.311779878,0.42454547
luzonensis,1.387460828,1.018652395,0.737548186,0.872645563,0.747792775,1.271014186,1.061039902,1.502976583,1.553657538,1.30985172,1.475871029,1.284973261,0.90956648,0.33759357,0.5510716
