species,,SVL,HL,adjHL,SL,adjSL,IND,adjIND,ED,adjED,TD,adjTD,HW,adjHW,FA,adjFA,FL,adjFL,TBL,adjTBL,TarL,adjTarL,PL,adjPL,ML,adjML,NPL,adjNPL,Toe4DW,adjToe4DW,Fin3DW,adjFIn3DW
everetti,1.747722462,1.900367129,1.481442629,1.352793704,1.123851641,0.997080245,0.886490725,0.761383156,0.929418926,0.83070362,0.929418926,0.841663507,1.40654018,1.27073222,1.269512944,1.183329765,1.639486489,1.496855312,1.678518379,1.5375205,1.413299764,1.259525526,1.63447727,1.518146769,1.419955748,1.308067207,1.093421685,1.043293176,0.447158031,0.342443789,0.662757832,0.594159319
everetti,1.747722462,1.893761762,1.465382851,1.342300929,1.127104798,1.005819159,0.880813592,0.761119782,0.86332286,0.768879245,0.875061263,0.791103269,1.403120521,1.273189356,1.214843848,1.132390059,1.608526034,1.472066912,1.648360011,1.51346351,1.387389826,1.240269835,1.599883072,1.488586521,1.389166084,1.282119277,1.064457989,1.016498683,0.380211242,0.280028282,0.662757832,0.597127771
everetti,1.747722462,1.790285164,1.357934847,1.322063002,1.012837225,0.977488901,0.763427994,0.728543603,0.77815125,0.750625951,0.755874856,0.731405559,1.290034611,1.252166575,1.10720997,1.083179068,1.537819095,1.498048506,1.565847819,1.526532651,1.315970345,1.273092679,1.530199698,1.497762663,1.389166084,1.357967623,0.929418926,0.915441335,0.322219295,0.293021281,0.643452676,0.624324998
everetti,1.747722462,1.859738566,1.46834733,1.373940158,1.123851641,1.030822267,0.880813592,0.789005193,0.875061263,0.802620449,0.924279286,0.859881228,1.376576957,1.276916229,1.123851641,1.060607349,1.621176282,1.516508434,1.649334859,1.545865584,1.40654018,1.293695157,1.622214023,1.53684655,1.428134794,1.34602699,0.903089987,0.866303898,0.397940009,0.321096962,0.579783597,0.52944356
everetti,1.747722462,1.883093359,1.45484486,1.340754268,1.11058971,0.99816418,0.84509804,0.734148053,0.857332496,0.769788137,0.880813592,0.802988863,1.378397901,1.257958414,1.149219113,1.072788705,1.645422269,1.518931703,1.675778342,1.550736244,1.423245874,1.286873232,1.668385917,1.565219756,1.444044796,1.344817929,0.939519253,0.89506345,0.447158031,0.354293596,0.62324929,0.562413609
everetti,1.747722462,1.861534411,1.456366033,1.360445322,1.113943352,1.019422528,0.851258349,0.757978076,0.86923172,0.795629533,0.903089987,0.837659498,1.380211242,1.278952751,1.136720567,1.072462341,1.620136055,1.51379017,1.649334859,1.544206762,1.387389826,1.272735669,1.615950052,1.529213966,1.419955748,1.336531589,0.934498451,0.897122607,0.414973348,0.336898351,0.612783857,0.561636767
everetti,1.747722462,1.812913357,1.382017043,1.327074157,1.029383778,0.97524274,0.806179974,0.752749516,0.785329835,0.743170883,0.799340549,0.761862303,1.301029996,1.243029657,1.096910013,1.060103234,1.551449998,1.490535626,1.589949601,1.529732771,1.340444115,1.274770807,1.562292864,1.512610883,1.338456494,1.290671568,0.977723605,0.956314915,0.361727836,0.317006882,0.51851394,0.489217152
everetti,1.747722462,1.810232518,1.390935107,1.338251632,1.068185862,1.016271261,0.799340549,0.748107307,0.86923172,0.828806467,0.819543936,0.783606905,1.324282455,1.268667258,1.093421685,1.058128507,1.582063363,1.523653967,1.618048097,1.560307558,1.361727836,1.298755206,1.572871602,1.525232688,1.354108439,1.308288568,0.968482949,0.947954647,0.361727836,0.318845938,0.531478917,0.503386898
everetti,1.747722462,1.831869774,1.434568904,1.363649549,1.093421685,1.023537342,0.857332496,0.788365359,0.857332496,0.802914429,0.819543936,0.771167646,1.334453751,1.259587888,1.127104798,1.079595226,1.572871602,1.494244354,1.651278014,1.573551142,1.374748346,1.289978344,1.621176282,1.557047616,1.361727836,1.300047856,0.929418926,0.901784949,0.431363764,0.373638708,0.579783597,0.541967795
visayan,1.747722462,1.760422483,1.33243846,1.321943163,0.939519253,0.933908384,0.72427587,0.714044733,0.819543936,0.812167764,0.72427587,0.715564926,1.212187604,1.201515776,1.10720997,1.099716958,1.477121255,1.469695553,1.542825427,1.53248507,1.240549248,1.231476353,1.45331834,1.443376764,1.250420002,1.242576469,0.77815125,0.776143377,0.2787536,0.275188704,0.301029996,0.299948081
visayan,1.747722462,1.753583059,1.336459734,1.331616537,0.968482949,0.965893737,0.707570176,0.702848879,0.819543936,0.816140101,0.716003344,0.711983561,1.222716471,1.217791811,1.096910013,1.093452261,1.489958479,1.486531788,1.5289167,1.524145002,1.238046103,1.233859293,1.459392488,1.454804813,1.257678575,1.25405907,0.86923172,0.86830516,0.255272505,0.253627435,0.531478917,0.530979653
visayan,1.747722462,1.741939078,1.305351369,1.310130758,0.973127854,0.975682953,0.707570176,0.71222927,0.826074803,0.829433792,0.716003344,0.719970167,1.198657087,1.203516865,1.10720997,1.110622167,1.480006943,1.483388488,1.542825427,1.547534258,1.247973266,1.252104916,1.399673721,1.404200954,1.193124598,1.196696416,0.857332496,0.858246849,0.204119983,0.205743379,0.431363764,0.43185645
visayan,1.747722462,1.698970004,1.354108439,1.39439747,1.017033339,1.038572175,0.73239376,0.77166874,0.86332286,0.891638288,0.716003344,0.749442655,1.23299611,1.2739628,1.123851641,1.152615591,1.50242712,1.530932682,1.536558443,1.576252694,1.260071388,1.294900144,1.444044796,1.48220822,1.230448921,1.260558439,0.897627091,0.905334855,0.322219295,0.33590411,0.51851394,0.522667162
visayan,1.747722462,1.720159303,1.301029996,1.323808191,0.986771734,0.998949138,0.698970004,0.721174885,0.792391689,0.808400372,0.662757832,0.681663403,1.176091259,1.199252582,1.064457989,1.080720253,1.424881637,1.440997816,1.478566496,1.50100842,1.184691431,1.204382552,1.409933123,1.431509564,1.252853031,1.269876038,0.84509804,0.849455775,0.176091259,0.183828238,0.380211242,0.382559348
visayan,1.747722462,1.649334859,1.238046103,1.319353618,0.851258349,0.894725992,0.643452676,0.722713729,0.72427587,0.78141939,0.612783857,0.680267914,1.133538908,1.216214011,0.982271233,1.040319919,1.352182518,1.409709749,1.432969291,1.513076477,1.149219113,1.219507217,1.356025857,1.433043673,1.184691431,1.245455615,0.832508913,0.848063993,0.146128036,0.173745436,0.431363764,0.439745404
visayan,1.747722462,1.709269961,1.29666519,1.328442337,0.954242509,0.971230824,0.73239376,0.763371095,0.77815125,0.800484463,0.662757832,0.689132402,1.158362492,1.190674129,1.017033339,1.039720315,1.437750563,1.46023374,1.481442629,1.512750655,1.176091259,1.203561726,1.385606274,1.415706892,1.204119983,1.227868248,0.826074803,0.832154143,0.204119983,0.2149136,0.431363764,0.434639533
visayan,1.747722462,1.660865478,1.267171728,1.33895034,0.944482672,0.982856088,0.69019608,0.760168066,0.73239376,0.782840296,0.591064607,0.650639812,1.1430148,1.216000724,0.991226076,1.042471697,1.437750563,1.488535842,1.462397998,1.533116954,1.181843588,1.243894217,1.413299764,1.481291411,1.240549248,1.294192121,0.838849091,0.85258118,0.230448921,0.254829676,0.477121255,0.484520601
visayan,1.747722462,1.742725131,1.322219295,1.326349089,1,1.002207821,0.755874856,0.759900706,0.77815125,0.7810537,0.672097858,0.675525527,1.198657087,1.202856344,1.093421685,1.09637011,1.445604203,1.448526142,1.506505032,1.510573859,1.238046103,1.241616196,1.434568904,1.438480815,1.276461804,1.279548156,0.84509804,0.845888118,0.230448921,0.231851672,0.51851394,0.518939663
luzonensis,1.747722462,1.710963119,1.334453751,1.378156934,0.995635195,1.032387186,0.681241237,0.712960874,0.826074803,0.844527993,0.73239376,0.765098547,1.23299611,1.272402126,1.053078443,1.08536785,1.442479769,1.480911662,1.484299839,1.523227983,1.252853031,1.289413874,1.44870632,1.480683273,1.235528447,1.27205253,0.892094603,0.923071701,0.255272505,0.279765255,0.531478917,0.553288235
luzonensis,1.747722462,1.736396502,1.315970345,1.329435779,0.944482672,0.955806367,0.716003344,0.725776515,0.857332496,0.863018128,0.633468456,0.643545163,1.220108088,1.232249517,1.041392685,1.051341408,1.411619706,1.423460997,1.477121255,1.489115447,1.238046103,1.249310903,1.450249108,1.460101561,1.230448921,1.241702395,0.875061263,0.88460565,0.278753601,0.286300088,0.491361694,0.498081386
luzonensis,1.747722462,1.703291378,1.336459734,1.38928385,0.982271233,1.026693431,0.72427587,0.762615452,0.892094603,0.914399007,0.633468456,0.672998791,1.264817823,1.312447945,1.06069784,1.099726104,1.462397998,1.508850696,1.5132176,1.560270118,1.269512944,1.3137041,1.478566496,1.517217096,1.276461804,1.320608529,0.929418926,0.966861001,0.322219295,0.351823726,0.531478917,0.557839879
luzonensis,1.747722462,1.668385917,1.278753601,1.373076819,0.903089987,0.982410665,0.653212514,0.721672019,0.851258349,0.891085295,0.62324929,0.693835014,1.201397124,1.2864459,0.973127854,1.042817075,1.389166084,1.472112442,1.426511261,1.510528662,1.184691431,1.263599559,1.394451681,1.463466542,1.173186268,1.252015059,0.84509804,0.911954947,0.278753601,0.331615541,0.477121255,0.524191627
luzonensis,1.747722462,1.671172843,1.278753601,1.369763443,0.908485019,0.985019328,0.672097858,0.738152524,0.799340549,0.837768458,0.612783857,0.680890053,1.198657087,1.280718279,1.004321374,1.071562559,1.397940009,1.477972636,1.444044796,1.525110843,1.206825876,1.282962127,1.390935107,1.457525621,1.187520721,1.263580422,0.86332286,0.927831224,0.204119983,0.255124994,0.342422681,0.38783957
luzonensis,1.747722462,1.681241237,1.278753601,1.357793129,0.903089987,0.969557916,0.643452676,0.700819325,0.770852012,0.804225587,0.612783857,0.671932203,1.195899652,1.267167525,0.963787827,1.022184935,1.409933123,1.479439244,1.44870632,1.519109937,1.190331698,1.256453924,1.397940009,1.455772027,1.198657087,1.264712832,0.851258349,0.907282077,0.255272505,0.299568945,0.431363764,0.470807075
luzonensis,1.747722462,1.717670503,1.33243846,1.368167234,0.986771734,1.016817683,0.672097858,0.698029693,0.880813592,0.895899675,0.681241237,0.707978465,1.227886705,1.260102405,1.08278537,1.109183011,1.423245874,1.454665197,1.46686762,1.498692645,1.235528447,1.265418125,1.450249108,1.476391307,1.230448921,1.260308547,0.903089987,0.928414773,0.278753601,0.298777221,0.505149978,0.522979805
luzonensis,1.747722462,1.761175813,1.346352974,1.330358285,1.021189299,1.007738639,0.653212514,0.641603617,0.903089987,0.896336405,0.672097858,0.660128412,1.227886705,1.213464713,1.045322979,1.033505556,1.46834733,1.454281852,1.492760389,1.47851329,1.243038049,1.229657346,1.45484486,1.44314179,1.243038049,1.229670799,0.886490725,0.875153586,0.255272505,0.246308537,0.491361694,0.483379821
luzonensis,1.747722462,1.716837723,1.328379603,1.365098469,1,1.030878562,0.672097858,0.698748299,0.851258349,0.866762488,0.681241237,0.708719389,1.238046103,1.271154543,1.068185862,1.095315017,1.44870632,1.480996315,1.499687083,1.532394022,1.260071388,1.290789349,1.451786436,1.47865307,1.247973266,1.278660343,0.897627091,0.923653661,0.230448921,0.251027423,0.491361694,0.50968561
luzonensis,1.747722462,1.731588765,1.344392274,1.363573626,1.004321374,1.020451844,0.681241237,0.695163004,0.857332496,0.865431612,0.672097858,0.686452008,1.245512668,1.262807991,1.079181246,1.093353085,1.457881897,1.474749677,1.5132176,1.530303185,1.252853031,1.268899606,1.359835482,1.373870185,1.271841607,1.287872048,0.908485019,0.922080885,0.301029996,0.311779878,0.414973348,0.42454547
luzonensis,1.747722462,1.692846919,1.322219295,1.387460828,0.963787827,1.018652395,0.69019608,0.737548186,0.84509804,0.872645563,0.698970004,0.747792775,1.212187604,1.271014186,1.012837225,1.061039902,1.445604203,1.502976583,1.495544338,1.553657538,1.255272505,1.30985172,1.428134794,1.475871029,1.230448921,1.284973261,0.86332286,0.90956648,0.301029996,0.33759357,0.51851394,0.5510716
luzonensis,1.747722462,1.695481676,1.255272505,1.317381576,0.919078092,0.97130843,0.602059991,0.647138565,0.763427994,0.789652869,0.653212514,0.699691141,1.176091259,1.232093382,1.004321374,1.05020968,1.409933123,1.464550865,1.42975228,1.485075272,1.187520721,1.239479407,1.385606274,1.431050534,1.204119983,1.256026428,0.812913357,0.856936667,0.255272505,0.290080541,0.462397998,0.493392456
luzonensis,1.747722462,1.680335513,1.276461804,1.356578148,0.929418926,0.996792398,0.612783857,0.670932055,0.799340549,0.833168797,0.681241237,0.741195406,1.181843588,1.254082397,0.991226076,1.050418772,1.397940009,1.468393064,1.440909082,1.512271861,1.187520721,1.254543781,1.390935107,1.449555014,1.173186268,1.240141941,0.886490725,0.943277707,0.204119983,0.249019907,0.462397998,0.502378675
luzonensis,1.747722462,1.643452676,1.281033367,1.404999716,0.939519253,1.043768185,0.612783857,0.702758255,0.792391689,0.844735122,0.62324929,0.716018119,1.178976947,1.290754158,0.982271233,1.073861813,1.403120521,1.512134582,1.432969291,1.543390994,1.204119983,1.307826712,1.376576957,1.467281244,1.181843588,1.285446047,0.84509804,0.932966189,0.204119983,0.273594941,0.431363764,0.493227028
luzonensis,1.747722462,1.677606953,1.301029996,1.384390325,0.954242509,1.024343995,0.643452676,0.703955349,0.851258349,0.886456335,0.672097858,0.734479626,1.201397124,1.27656095,1.012837225,1.074426688,1.396199347,1.469505112,1.440909082,1.515161406,1.198657087,1.268393972,1.382017043,1.443010524,1.201397124,1.271063894,0.851258349,0.910344688,0.255272505,0.301990469,0.477121255,0.518720787
luzonensis,1.747722462,1.669316881,1.255272505,1.3484889,0.913813852,0.992203752,0.602059991,0.669716167,0.77815125,0.817510852,0.643452676,0.713210121,1.181843588,1.265894371,0.968482949,1.037354411,1.408239965,1.490213,1.442479769,1.525511279,1.181843588,1.259825779,1.399673721,1.467878736,1.178976947,1.256880732,0.838849091,0.904921474,0.146128036,0.198369675,0.414973348,0.461491379
