SPECIES,SEX,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
everetti,male,79.46,30.25,13.27,7.41,7.73,8.54,8.53,25.46,18.6,43.64,47.71,25.88,43.1,26.33,12.39,2.76,4.63
everetti,male,78.29,29.15,13.38,7.21,7.55,7.3,7.53,25.26,16.44,40.62,44.48,24.42,39.82,24.51,11.6,2.37,4.55
everetti,male,61.7,22.8,10.3,6.9,5.8,6,5.7,19.5,12.8,34.5,36.8,20.7,33.9,24.5,8.5,2.1,4.4
everetti,male,72.4,29.4,13.3,7.9,7.6,7.5,8.4,23.8,13.3,41.8,44.6,25.5,41.9,26.8,8,2.5,3.8
everetti,male,76.4,28.5,12.9,7.8,7,7.2,7.6,23.9,14.1,44.2,47.4,26.5,46.6,27.8,8.7,2.8,4.2
everetti,male,72.7,28.6,13,7.5,7.1,7.4,8,24,13.7,41.7,44.6,24.4,41.3,26.3,8.6,2.6,4.1
everetti,male,65,24.1,10.7,6.9,6.4,6.1,6.3,20,12.5,35.6,38.9,21.9,36.5,21.8,9.5,2.3,3.3
everetti,male,64.6,24.6,11.7,7.5,6.3,7.4,6.6,21.1,12.4,38.2,41.5,23,37.4,22.6,9.3,2.3,3.4
everetti,male,67.9,27.2,12.4,7.5,7.2,7.2,6.6,21.6,13.4,37.4,44.8,23.7,41.8,23,8.5,2.7,3.8
visayan,male,57.55,21.53,8.73,5.08,5.3,6.55,5.33,16.31,12.77,30,34.92,17.44,28.44,17.78,6.04,0.91,1.98
visayan,male,56.74,21.67,9.25,5.12,5.11,6.61,5.21,16.67,12.48,30.92,33.84,17.33,28.76,18.13,7.37,1.84,3.41
visayan,male,55.16,20.15,9.44,5.15,5.1,6.65,5.2,15.84,12.76,30.22,34.88,17.65,25.13,15.64,7.22,1.6,2.7
visayan,male,50,22.64,10.35,5.44,5.4,7.3,5.16,17.13,13.29,31.75,34.36,18.19,27.8,17,7.91,2.09,3.27
visayan,male,52.45,20,9.72,4.95,5.04,6.15,4.61,14.99,11.62,26.56,30.13,15.31,25.65,17.86,6.97,1.46,2.37
visayan,male,44.61,17.3,7.11,4.3,4.4,5.3,4.12,13.6,9.6,22.5,27.06,14.05,22.7,15.34,6.76,1.42,2.67
visayan,male,51.16,19.79,9,5.32,5.37,6.04,4.59,14.4,10.37,27.36,30.31,14.95,24.26,16,6.65,1.6,2.69
visayan,male,45.78,18.45,8.8,5.02,4.89,5.42,3.89,13.88,9.76,27.4,29,15.2,25.94,17.4,6.88,1.72,3.03
visayan,male,55.33,21,10.04,5.5,5.7,6,4.74,15.8,12.43,27.85,32.06,17.28,27.2,18.93,7,1.66,3.3
luzonensis,male,51.47,20.73,9.66,7.15,6.08,7.15,5.18,16.02,12.38,29.26,32.29,17.66,28.18,17.37,8.2,1.82,2.67
luzonensis,male,42.1,21.78,10.19,6.66,5.24,6.94,5.82,16.05,13.06,28.74,31.44,17.53,27.67,16.71,8.06,1.99,2.67
luzonensis,male,58.7,23.73,11.44,7.35,5.79,6.78,5.89,17.64,15.32,32.94,36.76,19.62,31.96,18.98,8.78,2.18,3.31
luzonensis,male,54.3,23.5,10.4,7.13,5.7,7.74,5.84,17.45,13.52,30.5,33.51,18.6,29.07,18.21,8.28,1.95,3.02
luzonensis,male,56.9,25.33,12.06,7.62,5.81,7.16,6.32,18.42,14.46,31.06,34.86,19.22,31.24,19.43,8.77,2.19,2.97
luzonensis,male,62.1,23.25,10.87,7.84,6.07,7.67,5.8,17.83,13.19,32.93,36.24,19.53,30.39,18.56,7.79,2.2,2.7
luzonensis,male,55.1,22.4,10.62,7.32,5.61,6.88,6.1,16.35,11.12,26.87,29.28,16.87,26.33,15.62,7.6,1.94,2.61
luzonensis,male,56.94,23.87,11.17,7.03,6.42,6.98,5.94,17.75,13.74,33.1,35.61,19,32,17.41,7.82,2.09,3.09
luzonensis,male,58.3,23.68,11.4,7.82,5.66,7.01,5.9,18.14,12.92,32.84,35.99,19.12,31.24,17.47,8.73,2.08,3.03
