,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
SVL,-0.241435496,0.034522802,-0.013344418,0.088349851,-0.125815024,-0.140374951,0.05549575,-0.167308788,0.426547729,-0.060420932,0.171304777,-0.706624204,0.320645007,-0.081463228,0.128984857,-0.159599088,-0.010562426
HL,-0.213787129,0.022477309,0.181381975,-0.022622789,-0.020531445,0.054080503,-0.033252573,0.008617085,0.07386109,-0.253031848,-0.019532138,0.027482285,0.088532494,-0.135461337,-0.105602343,0.511928073,0.738799738
SL,-0.223432924,-0.026903353,0.121351918,0.019352928,-0.124294663,0.155210397,0.155307779,-0.265801743,0.04739778,-0.631836657,-0.550250897,0.059247846,-0.142008438,0.006975909,0.051985711,-0.090687919,-0.24708353
IOD,-0.279949294,0.251815049,-0.294982858,0.157906248,0.042429675,0.497948221,0.161707673,-0.142478408,-0.504197432,0.136577427,0.060809866,-0.340119598,-0.200325859,-0.040388863,-0.109704034,0.021673432,0.059599327
IND,-0.259336329,0.220075088,-0.213567565,0.147862379,-0.013530472,0.033853536,-0.451337528,0.677532989,-0.032178569,-0.297725791,-0.020520139,0.028441777,0.113321266,-0.102885231,-0.00351266,-0.186615606,-0.059838653
ED,-0.092258541,-0.122134159,0.715134757,0.00571416,0.001965762,0.551728421,-0.054371451,0.216068846,0.049200237,0.134795282,0.126526112,-0.054447209,0.080285864,0.204690641,0.074288926,-0.09540803,-0.092421421
TD,-0.265184745,0.333586454,0.31728551,-0.562921532,-0.193263135,-0.413460894,0.019268728,0.050169236,-0.339292564,-0.018146612,0.111973116,-0.11428884,-0.194295109,0.065321166,0.040915889,-0.056299237,-0.041806426
HW,-0.243271302,-0.089175173,0.135872295,0.022268634,0.091660041,-0.058940501,0.302922578,0.074971003,0.077909135,0.004320637,0.211676898,0.155509263,0.067810708,-0.516548011,-0.607078696,0.030258776,-0.297812668
FA,-0.220495784,0.036050681,0.145187788,0.452628625,-0.448935469,-0.133490306,-0.393516291,-0.272252333,0.116616747,0.231763255,0.073036638,0.168899623,-0.397327275,-0.06685123,-0.075502537,-0.073266401,0.034769465
FL,-0.261056434,0.132967593,-0.044368112,-0.007242336,-0.014558966,-0.053342632,0.043637175,-0.157563183,-0.037581893,0.218999296,-0.256541933,0.24377406,0.495343209,0.385456126,-0.350756404,-0.375683999,0.222795712
TBL,-0.253084835,0.189074445,-0.029896511,0.07324749,-0.059525114,-0.034324672,-0.067150118,-0.034299612,-0.013548487,0.25140024,-0.165077158,0.105954094,0.345083082,0.068332459,0.222742442,0.64618151,-0.436754075
TarL,-0.252671053,-0.001227273,0.031839551,-0.016103136,0.132499456,0.011155725,0.210760664,0.024888574,0.00026443,0.277951982,-0.164396394,0.246235026,0.03683902,-0.510478762,0.572920071,-0.282989718,0.19230498
PL,-0.283364027,0.010163283,-0.140257687,-0.127669241,0.221959356,-0.014910801,0.18440275,0.28877661,0.490047561,0.269971561,-0.249492394,-0.087524859,-0.487214951,0.275554113,-0.105292781,0.092060259,0.030607817
ML,-0.25938768,0.08480621,-0.233730979,-0.100615311,-0.010463103,0.162981712,0.153619592,-0.152350303,0.211264312,-0.261954743,0.625266462,0.40671341,-0.025815743,0.26319601,0.213830537,-0.024088619,-0.03769646
NPL,-0.197100634,-0.467715074,0.027887897,0.410157926,-0.131915876,-0.327499799,0.391464317,0.285848407,-0.325430967,-0.071485075,0.069328792,-0.045020515,0.001692889,0.274760072,0.127579514,0.044449234,0.046670787
Toe4DW,-0.259654662,-0.174490817,0.130578439,0.098215686,0.754507435,-0.205492012,-0.373410216,-0.274468589,-0.142400484,-0.087712138,0.073312761,-0.055523203,-0.060365084,0.071999441,0.026834258,-0.013233729,-0.054833879
Fin3DW,-0.252842737,-0.663593174,-0.268206442,-0.460708981,-0.248288934,0.164672648,-0.301294033,-0.052156437,-0.073052332,0.104173457,-0.03483758,-0.041471714,0.045282936,-0.074693269,-0.036534311,0.020102037,-0.027812507
