SPECIES,SEX,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
visayan,male,1.760045328,1.33304403,0.941014244,0.705863712,0.72427587,0.8162413,0.726727209,1.212453961,1.106190897,1.477121255,1.543074235,1.241546481,1.453929592,1.249931757,0.781036939,-0.040958608,0.29666519
visayan,male,1.753889331,1.335858911,0.966141733,0.709269961,0.7084209,0.820201459,0.716837723,1.2219356,1.096214585,1.490239485,1.529430354,1.238798563,1.458788882,1.258397804,0.867467488,0.264817823,0.532754379
visayan,male,1.741624258,1.30427505,0.974971994,0.711807229,0.707570176,0.822821645,0.716003344,1.199755177,1.105850674,1.48029446,1.542576476,1.24674471,1.400192489,1.194236749,0.858537198,0.204119983,0.431363764
visayan,male,1.698970004,1.354876423,1.01494035,0.7355989,0.73239376,0.86332286,0.712649702,1.233757363,1.123524981,1.50174373,1.536053155,1.259832699,1.444044796,1.230448921,0.898176483,0.320146286,0.514547753
visayan,male,1.719745493,1.301029996,0.987666265,0.694605199,0.702430536,0.788875116,0.663700925,1.175801633,1.065206128,1.424228071,1.478999132,1.184975191,1.409087369,1.251881455,0.843232778,0.164352856,0.374748346
visayan,male,1.649432223,1.238046103,0.851869601,0.633468456,0.643452676,0.72427587,0.614897216,1.133538908,0.982271233,1.352182518,1.432327792,1.147676324,1.356025857,1.18582536,0.829946696,0.152288344,0.426511261
visayan,male,1.708930536,1.296445794,0.954242509,0.725911632,0.729974286,0.781036939,0.661812686,1.158362492,1.015778756,1.437116093,1.481585936,1.174641193,1.384890797,1.204119983,0.822821645,0.204119983,0.42975228
visayan,male,1.660675788,1.26599637,0.944482672,0.700703717,0.689308859,0.733999287,0.589949601,1.142389466,0.989449818,1.437750563,1.462397998,1.181843588,1.413969972,1.240549248,0.837588438,0.235528447,0.481442629
visayan,male,1.74296067,1.322219295,1.001733713,0.740362689,0.755874856,0.77815125,0.675778342,1.198657087,1.094471129,1.4448252,1.505963518,1.237543738,1.434568904,1.277150614,0.84509804,0.220108088,0.51851394
luzonensis,male,1.711554168,1.316599302,0.984977126,0.854306042,0.783903579,0.854306042,0.71432976,1.204662512,1.092720645,1.466274322,1.509068045,1.246990699,1.449940989,1.239799818,0.913813852,0.260071388,0.426511261
luzonensis,male,1.624282096,1.338057875,1.008174184,0.823474229,0.719331287,0.84135947,0.764922985,1.205475037,1.115943177,1.458486764,1.497482537,1.243781916,1.442009159,1.22297645,0.906335042,0.298853076,0.426511261
luzonensis,male,1.768638101,1.375297738,1.058426024,0.866287339,0.762678564,0.831229694,0.770115295,1.246498581,1.185258765,1.517723595,1.565375503,1.292699003,1.504606771,1.278296208,0.943494516,0.338456494,0.519827994
luzonensis,male,1.73479983,1.371067862,1.017033339,0.85308953,0.755874856,0.888740961,0.766412847,1.241795431,1.130976692,1.484299839,1.525174428,1.269512944,1.463445032,1.260309946,0.918030337,0.290034611,0.480006943
luzonensis,male,1.755112266,1.40363519,1.081347308,0.881954971,0.764176132,0.854913022,0.800717078,1.265289626,1.160168293,1.492201451,1.542327383,1.283753383,1.494711025,1.288472801,0.942999593,0.340444115,0.472756449
luzonensis,male,1.7930916,1.366422957,1.036229544,0.894316063,0.783188691,0.884795364,0.763427994,1.251151343,1.120244796,1.517591731,1.559188189,1.290702243,1.4827307,1.268577972,0.891537458,0.342422681,0.431363764
luzonensis,male,1.741151599,1.350248018,1.026124517,0.864511081,0.748962861,0.837588438,0.785329835,1.213517757,1.046104787,1.429267666,1.466571072,1.227115083,1.420450859,1.19368103,0.880813592,0.28780173,0.416640507
luzonensis,male,1.755417463,1.377852419,1.048053173,0.846955325,0.807535028,0.843855423,0.773786445,1.249198357,1.137986733,1.519827994,1.551571974,1.278753601,1.505149978,1.240798771,0.893206753,0.320146286,0.489958479
luzonensis,male,1.765668555,1.374381698,1.056904851,0.893206753,0.752816431,0.845718018,0.770852012,1.258637283,1.111262514,1.516403148,1.556181847,1.281487888,1.494711025,1.242292905,0.941014244,0.318063335,0.481442629
luzonensis,male,1.716003344,1.348304863,1.033423755,0.815577748,0.742725131,0.848804701,0.748188027,1.22762965,1.079181246,1.463892989,1.515078675,1.230704314,1.409425869,1.234770295,0.909556029,0.322219295,0.457881897
luzonensis,male,1.704665185,1.311753861,0.968482949,0.800029359,0.745074792,0.823474229,0.693726949,1.201397124,1.071882007,1.4448252,1.48029446,1.2219356,1.410777233,1.185258765,0.904174368,0.271841607,0.482873584
luzonensis,male,1.74694541,1.349665984,1.023663918,0.84509804,0.737987326,0.838849091,0.755874856,1.255272505,1.14176323,1.487138375,1.531351165,1.261500773,1.477555332,1.228913406,0.942008053,0.397940009,0.532754379
